title	description	dataset_identifier	disease	authors	created	modified	accessed	landing_page	access_page	format	conforms_to	license	geography	apollo_location_code	iso_3166	iso_3166_1	iso_3166_1_alpha_3	apollo_enabled	on_olympus
NNDSS - Table II. Hepatitis (viral, acute) (2016)	NNDSS - Table II. Hepatitis (viral, acute) - 2016. In this Table, provisional* cases of selected? notifiable diseases (?1,000 cases reported during the preceding year), and selected low frequency diseases are displayed. The Table includes total number of cases reported in the United States, by region and by states, in accordance with the current method of displaying MMWR data. Data on United States exclude counts from US territories. Note: These are provisional cases of selected national notifiable diseases, from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data reported by the 50 states, New York City, the District of Columbia, and the U.S. territories are collated and published weekly as numbered tables printed in the back of the Morbidity and Mortality Weekly Report (MMWR). Cases reported by state health departments to CDC for weekly publication are provisional because of ongoing revision of information and delayed reporting. Case counts in this table are presented as they were published in the MMWR issues. Therefore, numbers listed in later MMWR weeks may reflect changes made to these counts as additional information becomes available. Footnotes: C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable. -: No reported cases. N: Not reportable. NN: Not Nationally Notifiable. NP: Nationally notifiable but not published. Cum: Cumulative year-to-date counts. Med: Median. Max: Maximum.  Case counts for reporting year 2016 are provisional and subject to change. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS.... Data for TB are displayed in Table IV, which appears quarterly. ? Three low incidence conditions, rubella, rubella congenital, and tetanus, are in Table II to facilitate case count verification with reporting jurisdictions.  	http://data.cdc.gov/api/views/7vnz-2mjz	Hepatitis	Centers for Disease Control and Prevention	2016-08-11	null	null	https://data.cdc.gov/d/7vnz-2mjz	https://data.cdc.gov/api/views/7vnz-2mjz/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
NNDSS - Table I. infrequently reported notifiable diseases (2017)	"NNDSS - Table I. infrequently reported notifiable diseases - 2017. In this Table, provisional cases of selected infrequently reported notifiable diseases (<1,000 cases reported during the preceding year) are displayed. Note: These are provisional cases of selected national notifiable diseases, from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data reported by the 50 states, New York City, the District of Columbia, and the U.S. territories are collated and published weekly as numbered tables printed in the back of the Morbidity and Mortality Weekly Report (MMWR). Cases reported by state health departments to CDC for weekly publication are provisional because of ongoing revision of information and delayed reporting. Case counts in these tables are presented as they were published in the MMWR issues. Therefore, numbers listed in later MMWR weeks may reflect changes made to these counts as additional information becomes available. Footnote: ?: No reported cases. N: Not reportable. NA: Not available. NN: Not Nationally Notifiable. NP: Nationally notifiable but not published. Cum: Cumulative year-to-date counts.  Case counts for reporting year 2017 are provisional and subject to change. Data for years 2012 through 2016 are finalized. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS....  ? This table does not include cases from the U.S. territories. Three low incidence conditions, rubella, rubella congenital, and tetanus, are in Table II to facilitate case count verification with reporting jurisdictions. § Calculated by summing the incidence counts for the current week, the 2 weeks preceding the current week, and the 2 weeks following the current week, for a total of 5 preceding years. Additional information is available at http://wwwn.cdc.gov/nndss/document/5yearweeklyaverage.pdf. ¶ Updated weekly reports from the Division of Vector-Borne Diseases, National Center for Emerging and Zoonotic Infectious Diseases (ArboNET Surveillance). Data for West Nile virus are available in Table II. ** Not reportable in all jurisdictions. Data from states where the condition is not reportable are excluded from this table, except for the arboviral diseases and influenza-associated pediatric mortality. Reporting exceptions are available at http://wwwn.cdc.gov/nndss/downloads.html. ?? Data for Haemophilus influenzae (all ages, all serotypes) are available in Table II. §§ In 2016, the nationally notifiable condition ?Hepatitis B Perinatal Infection? was renamed to ?Perinatal Hepatitis B Virus Infection? and reflects updates in the 2016 CSTE position statement for Perinatal Hepatitis B Virus Infection. ¶¶ Please refer to the MMWR publication for weekly updates to the footnote for this condition. *** Please refer to the MMWR publication for weekly updates to the footnote for this condition. ??? Data for meningococcal disease (all serogroups) are available in Table II. §§§ Novel influenza A virus infections are human infections with influenza A viruses that are different from currently circulating human seasonal influenza viruses. With the exception of one avian lineage influenza A (H7N2) virus, all novel influenza A virus infections reported to CDC since 2011 have been variant influenza viruses. Total case counts are provided by the Influenza Division, National Center for Immunization and Respiratory Diseases (NCIRD). ¶¶¶ Updated weekly from reports to the Division of STD Prevention, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention. **** Prior to 2015, CDC's National Notifiable Diseases Surveillance System (NNDSS) did not receive electronic data about incident cases of specific viral hemorrhagic fevers; instead data were collected in aggregate as ""viral hemorrhagic fevers"". Beginning in 2015, NNDSS has been updated to receive data for each of the viral hemorrhagic fevers listed below. In addition to the four cases of Ebola diagnosed in the United States to date in 2014, six residents of the United States have been medically evacuated to the United States for care after developing Ebola in West Africa. Ten of the 11 VHF cases reported for 2014 are confirmed as Ebola and one as Lassa fever. ????The Council of State and Territorial Epidemiologists approved position statement 16-ID-01 in June 2016, which modifies the previous case definition and naming convention from ""Zika virus congenital infection"" to ""Zika virus disease, non-congenital?. "	http://data.cdc.gov/api/views/45b4-9j7u	Arboviral Diseases	Centers for Disease Control and Prevention	2017-01-19	null	null	https://data.cdc.gov/d/45b4-9j7u	https://data.cdc.gov/api/views/45b4-9j7u/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
NNDSS - Table II. Lyme disease to Meningococcal (2014)	NNDSS - Table II. Lyme disease to Meningococcal - 2014In this Table, all conditions with a 5-year average annual national total of more than or equals 1,000 cases but less than or equals 10,000 cases will be displayed (??? 1,000 and ??_ 10,000). The Table includes total number of cases reported in the United States, by region and by states, in accordance with the current method of displaying MMWR data. Data on United States exclude counts from US territories. Note:These are provisional cases of selected national notifiable diseases, from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data reported by the 50 states, New York City, the District of Columbia, and the U.S. territories are collated and published weekly as numbered tables printed in the back of the Morbidity and Mortality Weekly Report (MMWR). Cases reported by state health departments to CDC for weekly publication are provisional because of ongoing revision of information and delayed reporting. Case counts in this table are presented as they were published in the MMWR issues. Therefore, numbers listed in later MMWR weeks may reflect changes made to these counts as additional information becomes available. Footnotes:C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable. -: No reported cases. N: Not reportable. NN: Not Nationally Notifiable Cum: Cumulative year-to-date counts. Med: Median. Max: Maximum. * Case counts for reporting years 2013 and 2014 are provisional and subject to change. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS.... Data for TB are displayed in Table IV, which appears quarterly. ??? Data for meningococcal disease, invasive caused by serogroups A, C, Y, & W-135; serogroup B; other serogroup; and unknown serogroup are available in Table I.More information on NNDSS is available at http://wwwn.cdc.gov/nndss/. 	http://data.cdc.gov/api/views/y6uv-t34t	Lyme Disease	Centers for Disease Control and Prevention	2016-05-07	null	null	https://data.cdc.gov/d/y6uv-t34t	https://data.cdc.gov/api/views/y6uv-t34t/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
NNDSS - Table II. Cryptosporidiosis to Dengue (2017)	NNDSS - Table II. Cryptosporidiosis to Dengue - 2017. In this Table, provisional cases of selected notifiable diseases (?1,000 cases reported during the preceding year), and selected low frequency diseases are displayed. The Table includes total number of cases reported in the United States, by region and by states, in accordance with the current method of displaying MMWR data. Data on United States exclude counts from US territories. Note: These are provisional cases of selected national notifiable diseases, from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data reported by the 50 states, New York City, the District of Columbia, and the U.S. territories are collated and published weekly as numbered tables printed in the back of the Morbidity and Mortality Weekly Report (MMWR). Cases reported by state health departments to CDC for weekly publication are provisional because of ongoing revision of information and delayed reporting. Case counts in this table are presented as they were published in the MMWR issues. Therefore, numbers listed in later MMWR weeks may reflect changes made to these counts as additional information becomes available. Footnotes:  C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable. ?: No reported cases. N: Not reportable. NN: Not Nationally Notifiable. NP: Nationally notifiable but not published. Cum: Cumulative year-to-date counts. Med: Median. Max: Maximum.  Three low incidence conditions, rubella, rubella congenital, and tetanus, are in Table II to facilitate case count verification with reporting jurisdictions.  ? Case counts for reporting year 2017 are provisional and subject to change. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. Data for tuberculosis are displayed in Table IV, which appears quarterly. § Includes data for dengue and dengue-like illness. 	http://data.cdc.gov/api/views/yakh-mjxn	Cryptosporidiosis	Centers for Disease Control and Prevention	2017-01-19	null	null	https://data.cdc.gov/d/yakh-mjxn	https://data.cdc.gov/api/views/yakh-mjxn/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
NNDSS - Table II. Spotted fever rickettsiosis to Syphilis, primary and secondary (2018)	NNDSS - Table II. Spotted fever rickettsiosis to Syphilis, primary and secondary - 2018. In this Table, provisional cases of selected notifiable diseases (?1,000 cases reported during the preceding year), and selected low frequency diseases are displayed. The Table includes total number of cases reported in the United States, by region and by states or territory. Note: This table contains provisional cases of selected national notifiable diseases from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data from the 50 states, New York City, the District of Columbia and the U.S. territories are collated and published weekly on the NNDSS Data and Statistics web page (https://wwwn.cdc.gov/nndss/data-and-statistics.html). Cases reported by state health departments to CDC for weekly publication are provisional because of the time needed to complete case follow-up. Therefore, numbers presented in later weeks may reflect changes made to these counts as additional information becomes available. The national surveillance case definitions used to define a case are available on the NNDSS web site at https://wwwn.cdc.gov/nndss/. Information about the weekly provisional data and guides to interpreting data are available at: https://wwwn.cdc.gov/nndss/infectious-tables.html. Footnotes: C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable. ?: No reported cases. N: Not reportable. NA: Not Available. NN: Not Nationally Notifiable. NP: Nationally notifiable but not published. Cum: Cumulative year-to-date counts. Med: Median. Max: Maximum.  Case counts for reporting years 2017 and 2018 are provisional and subject to change. Data for years 2013 through 2016 are finalized. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS....  	http://data.cdc.gov/api/views/efpc-rr7b	Spotted Fever Rickettsiosis	Centers for Disease Control and Prevention	2018-02-01	null	null	https://data.cdc.gov/d/efpc-rr7b	https://data.cdc.gov/api/views/efpc-rr7b/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
NNDSS - Table II. Hepatitis (viral, acute, by type) A & B (2018)	NNDSS - Table II. Hepatitis (viral, acute, by type) A & B - 2018. In this Table, provisional cases of selected notifiable diseases (?1,000 cases reported during the preceding year), and selected low frequency diseases are displayed. The Table includes total number of cases reported in the United States, by region and by states or territory. Note: This table contains provisional cases of selected national notifiable diseases from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data from the 50 states, New York City, the District of Columbia and the U.S. territories are collated and published weekly on the NNDSS Data and Statistics web page (https://wwwn.cdc.gov/nndss/data-and-statistics.html). Cases reported by state health departments to CDC for weekly publication are provisional because of the time needed to complete case follow-up. Therefore, numbers presented in later weeks may reflect changes made to these counts as additional information becomes available. The national surveillance case definitions used to define a case are available on the NNDSS web site at https://wwwn.cdc.gov/nndss/. Information about the weekly provisional data and guides to interpreting data are available at: https://wwwn.cdc.gov/nndss/infectious-tables.html. Footnotes: C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable. ?: No reported cases. N: Not reportable. NA: Not Available. NN: Not Nationally Notifiable. NP: Nationally notifiable but not published. Cum: Cumulative year-to-date counts. Med: Median. Max: Maximum.  Case counts for reporting years 2017 and 2018 are provisional and subject to change. Data for years 2013 through 2016 are finalized. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS....  ? Perinatal hepatitis C cases are not included in this table. These data will be included in the annual NNDSS tables on the NNDSS Data and Statistics page (https://wwwn.cdc.gov/nndss/data-and-statistics.html) beginning with data year 2018 and in the annual Summary of Viral Hepatitis, published online by CDC's Division of Viral Hepatitis, available at https://www.cdc.gov/hepatitis/statistics/2015surveillance/index.htm. 	http://data.cdc.gov/api/views/btcp-84tv	Hepatitis Viral	Centers for Disease Control and Prevention	2018-02-03	null	null	https://data.cdc.gov/d/btcp-84tv	https://data.cdc.gov/api/views/btcp-84tv/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
Performance Metrics - Public Health - Immunization Program - Monthly Vaccine Distribution	Vaccines have been touted as one of the 10 great public health achievements of the last decade. Currently, 18 diseases can be prevented by vaccines. The current childhood vaccination schedule is estimated to prevent 42,000 deaths and 20 million cases of disease. CDPH distributes vaccine to nearly 470 healthcare facilities throughout the city of Chicago that are enrolled in the Vaccines for Children (VFC) program. This metric provides the number of doses of vaccine distributed each month. For more information about CDPH?s Immunization Program, see https://www.cityofchicago.org/city/en/depts/cdph/provdrs/health_protection/svcs/immunization1.html	http://data.cityofchicago.org/api/views/7g62-yrf5	Health	data.cityofchicago.org	2015-02-04	null	null	https://data.cityofchicago.org/d/7g62-yrf5	https://data.cityofchicago.org/api/views/7g62-yrf5/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
NNDSS - Table II. Varicella to West Nile virus disease (2014)	NNDSS - Table II. Varicella to West Nile virus disease - 2014.In this Table, all conditions with a 5-year average annual national total of more than or equals 1,000 cases but less than or equals 10,000 cases will be displayed (??? 1,000 and ??_ 10,000). The Table includes total number of cases reported in the United States, by region and by states, in accordance with the current method of displaying MMWR data. Data on United States exclude counts from US territories. Note:These are provisional cases of selected national notifiable diseases, from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data reported by the 50 states, New York City, the District of Columbia, and the U.S. territories are collated and published weekly as numbered tables printed in the back of the Morbidity and Mortality Weekly Report (MMWR). Cases reported by state health departments to CDC for weekly publication are provisional because of ongoing revision of information and delayed reporting. Case counts in this table are presented as they were published in the MMWR issues. Therefore, numbers listed in later MMWR weeks may reflect changes made to these counts as additional information becomes available. Footnotes:C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable. -: No reported cases. N: Not reportable. NN: Not Nationally Notifiable Cum: Cumulative year-to-date counts. Med: Median. Max: Maximum. * Case counts for reporting years 2013 and 2014 are provisional and subject to change. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS.... Data for TB are displayed in Table IV, which appears quarterly. ??? Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Zoonotic, Vector-Borne, and Enteric Diseases (ArboNet Surveillance). Data for California serogroup, eastern equine, Powassan, St. Louis, and western equine diseases are available in Table I. ?? Not reportable in all states. Data from states where the condition is not reportable are excluded from this table, except starting in 2007 for the Arboviral diseases and influenza-associated pediatric mortality, and in 2003 for SARS-CoV. Reporting exceptions are available at http://wwwn.cdc.gov/nndss/document/SRCA_FINAL_REPORT_2006-2012_final.xls... information on NNDSS is available at http://wwwn.cdc.gov/nndss/. 	http://data.cdc.gov/api/views/ig4m-ub43	Chickenpox	Centers for Disease Control and Prevention	2015-09-28	null	null	https://data.cdc.gov/d/ig4m-ub43	https://data.cdc.gov/api/views/ig4m-ub43/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
NNDSS - Table I. infrequently reported notifiable diseases (2015)	NNDSS - Table I. infrequently reported notifiable diseases - 2015. In this Table, provisional cases of selected infrequently reported notifiable diseases (<1,000 cases reported during the preceding year) are displayed. Note:These are provisional cases of selected national notifiable diseases, from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data reported by the 50 states, New York City, the District of Columbia, and the U.S. territories are collated and published weekly as numbered tables printed in the back of the Morbidity and Mortality Weekly Report (MMWR). Cases reported by state health departments to CDC for weekly publication are provisional because of ongoing revision of information and delayed reporting. Case counts in these tables are presented as they were published in the MMWR issues. Therefore, numbers listed in later MMWR weeks may reflect changes made to these counts as additional information becomes available. Footnote:-: No reported cases N: Not reportable. NN: Not Nationally Notifiable. NP: Nationally notifiable but not published. Cum: Cumulative year-to-date counts. * Three low incidence conditions, rubella, rubella congenital, and tetanus, have been moved to Table 2 to facilitate case count verification with reporting jurisdictions. ??? Case counts for reporting year 2015 are provisional and subject to change. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS.... ?? Calculated by summing the incidence counts for the current week, the 2 weeks preceding the current week, and the 2 weeks following the current week, for a total of 5 preceding years. The total sum of incident cases is then divided by 25 weeks. Additional information is available at http://wwwn.cdc.gov/nndss/document/5yearweeklyaverage.pdf. ?? Data for the Arboviral disease, Chikungunya, and Hantavirus infection disease, non-Hantavirus Pulmonary Syndrome (HPS), will be displayed in this table after the CDC obtains Office of Management and Budget Paperwork Reduction Act approval to receive data for these conditions. ** Includes both neuroinvasive and nonneuroinvasive. Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Zoonotic, Vector-Borne, and Enteric Diseases (ArboNET Surveillance). Data for West Nile virus are available in Table II. ????? Not reportable in all states. Data from states where the condition is not reportable are excluded from this table except starting in 2007 for the arboviral diseases, STD data, TB data, and influenza-associated pediatric mortality, and in 2003 for SARS-CoV. Reporting exceptions are available at http://wwwn.cdc.gov/nndss/downloads.html. ???? Data for H. influenzae (all ages, all serotypes) are available in Table II. ???? Updated weekly from reports to the Influenza Division, National Center for Immunization and Respiratory Diseases. Please refer to the MMWR publication for weekly updates to the footnote for this condition. *** Please refer to the MMWR publication for weekly updates to the footnote for this condition. ??????? Data for meningococcal disease (all serogroups) are available in Table II. ?????? Please refer to the MMWR publication for weekly updates to the footnote for this condition. ?????? Updated weekly from reports to the Division of STD Prevention, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention. **** Please refer to the MMWR publication for weekly updates to the footnote for this condition. See Table II for Dengue Hemorrhagic Fever. 	http://data.cdc.gov/api/views/pb4z-432k	Anthrax	Centers for Disease Control and Prevention	2016-05-07	null	null	https://data.cdc.gov/d/pb4z-432k	https://data.cdc.gov/api/views/pb4z-432k/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
NNDSS - Table IV. Tuberculosis (2014)	NNDSS - Table IV. Tuberculosis - 2014.This Table includes total number of cases reported in the United States, by region and by states, in accordance with the current method of displaying MMWR data. Data on United States will exclude counts from US territories. Footnote:C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable. -: No reported cases. N: Not reportable. NN: Not Nationally Notifiable Cum: Cumulative year-to-date counts. Min: Minimum. Max: Maximum. * Case counts for reporting year 2013 and 2014 are provisional and subject to change. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS... Updated reports to the National Center for HIV/AIDS, Viral Hepatitis, STD and TB Prevention. Data for TB are displayed quarterly. 	http://data.cdc.gov/api/views/pxa6-asqb	Tb	Centers for Disease Control and Prevention	2016-05-07	null	null	https://data.cdc.gov/d/pxa6-asqb	https://data.cdc.gov/api/views/pxa6-asqb/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
NNDSS - Table II. Meningococcal to Pertussis (2017)	NNDSS - Table II. Meningococcal to Pertussis - 2017. In this Table, provisional cases of selected notifiable diseases (?1,000 cases reported during the preceding year), and selected low frequency diseases are displayed. The Table includes total number of cases reported in the United States, by region and by states, in accordance with the current method of displaying MMWR data. Data on United States exclude counts from US territories. Note: These are provisional cases of selected national notifiable diseases, from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data reported by the 50 states, New York City, the District of Columbia, and the U.S. territories are collated and published weekly as numbered tables printed in the back of the Morbidity and Mortality Weekly Report (MMWR). Cases reported by state health departments to CDC for weekly publication are provisional because of ongoing revision of information and delayed reporting. Case counts in this table are presented as they were published in the MMWR issues. Therefore, numbers listed in later MMWR weeks may reflect changes made to these counts as additional information becomes available. Footnotes:  C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable. ?: No reported cases. N: Not reportable. NN: Not Nationally Notifiable. NP: Nationally notifiable but not published. Cum: Cumulative year-to-date counts. Med: Median. Max: Maximum.  Three low incidence conditions, rubella, rubella congenital, and tetanus, are in Table II to facilitate case count verification with reporting jurisdictions.  ? Case counts for reporting year 2017 are provisional and subject to change. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. Data for tuberculosis are displayed in Table IV, which appears quarterly. § Data for meningococcal disease, invasive caused by serogroups ACWY, serogroup B, other serogroups, and unknown serogroups are available in Table I. 	http://data.cdc.gov/api/views/hatw-7gqy	Mumps	Centers for Disease Control and Prevention	2017-01-19	null	null	https://data.cdc.gov/d/hatw-7gqy	https://data.cdc.gov/api/views/hatw-7gqy/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
NNDSS - Table IV. Tuberculosis (2016)	NNDSS - Table IV. Tuberculosis - 2016.This Table includes total number of cases reported in the United States, by region and by states, in accordance with the current method of displaying MMWR data. Data on United States will exclude counts from US territories. Footnote: C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable. -: No reported cases. N: Not reportable. NN: Not Nationally Notifiable Cum: Cumulative year-to-date counts. Min: Minimum. Max: Maximum. * Case counts for reporting year 2015 and 2016 are provisional and subject to change. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS... Data for TB are displayed quarterly. 	http://data.cdc.gov/api/views/pkas-xr96	Tb	Centers for Disease Control and Prevention	2016-05-07	null	null	https://data.cdc.gov/d/pkas-xr96	https://data.cdc.gov/api/views/pkas-xr96/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
NNDSS - Table II. Cryptosporidiosis to Dengue Hemorrhagic Fever (2014)	NNDSS - Table II. Cryptosporidiosis to Dengue Hemorrhagic Fever - 2014.In this Table, all conditions with a 5-year average annual national total of more than or equals 1,000 cases but less than or equals 10,000 cases will be displayed (??? 1,000 and ??_ 10,000). The Table includes total number of cases reported in the United States, by region and by states, in accordance with the current method of displaying MMWR data. Data on United States exclude counts from US territories. Note:These are provisional cases of selected national notifiable diseases, from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data reported by the 50 states, New York City, the District of Columbia, and the U.S. territories are collated and published weekly as numbered tables printed in the back of the Morbidity and Mortality Weekly Report (MMWR). Cases reported by state health departments to CDC for weekly publication are provisional because of ongoing revision of information and delayed reporting. Case counts in this table are presented as they were published in the MMWR issues. Therefore, numbers listed in later MMWR weeks may reflect changes made to these counts as additional information becomes available. Footnotes:C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable. -: No reported cases. N: Not reportable. NN: Not Nationally Notifiable Cum: Cumulative year-to-date counts. Med: Median. Max: Maximum. * Case counts for reporting years 2013 and 2014 are provisional and subject to change. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS.... Data for TB are displayed in Table IV, which appears quarterly. ??? Dengue Fever includes cases that meet criteria for Dengue Fever with hemorrhage, other clinical, and unknown case classifications. ?? DHF includes cases that meet criteria for dengue shock syndrome (DSS), a more severe form of DHF.More information on NNDSS is available at http://wwwn.cdc.gov/nndss/. 	http://data.cdc.gov/api/views/b36e-ru3r	Cryptosporidiosis	Centers for Disease Control and Prevention	2015-09-28	null	null	https://data.cdc.gov/d/b36e-ru3r	https://data.cdc.gov/api/views/b36e-ru3r/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
NNDSS - Table II. Meningococcal disease to Pertussis (2018)	NNDSS - Table II. Meningococcal disease to Pertussis - 2018. In this Table, provisional cases of selected notifiable diseases (?1,000 cases reported during the preceding year), and selected low frequency diseases are displayed. The Table includes total number of cases reported in the United States, by region and by states or territory. Note: This table contains provisional cases of selected national notifiable diseases from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data from the 50 states, New York City, the District of Columbia and the U.S. territories are collated and published weekly on the NNDSS Data and Statistics web page (https://wwwn.cdc.gov/nndss/data-and-statistics.html). Cases reported by state health departments to CDC for weekly publication are provisional because of the time needed to complete case follow-up. Therefore, numbers presented in later weeks may reflect changes made to these counts as additional information becomes available. The national surveillance case definitions used to define a case are available on the NNDSS web site at https://wwwn.cdc.gov/nndss/. Information about the weekly provisional data and guides to interpreting data are available at: https://wwwn.cdc.gov/nndss/infectious-tables.html. Footnotes: C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable. ?: No reported cases. N: Not reportable. NA: Not Available. NN: Not Nationally Notifiable. NP: Nationally notifiable but not published. Cum: Cumulative year-to-date counts. Med: Median. Max: Maximum.  Case counts for reporting years 2017 and 2018 are provisional and subject to change. Data for years 2013 through 2016 are finalized. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS....  	http://data.cdc.gov/api/views/9qys-crt2	Meningococcal Disease	Centers for Disease Control and Prevention	2018-02-03	null	null	https://data.cdc.gov/d/9qys-crt2	https://data.cdc.gov/api/views/9qys-crt2/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
NNDSS - Table II. West Nile to Zika (2018)	NNDSS - Table II. West Nile to Zika - 2018. In this Table, provisional cases of selected notifiable diseases (?1,000 cases reported during the preceding year), and selected low frequency diseases are displayed. The Table includes total number of cases reported in the United States, by region and by states or territory. Note: This table contains provisional cases of selected national notifiable diseases from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data from the 50 states, New York City, the District of Columbia and the U.S. territories are collated and published weekly on the NNDSS Data and Statistics web page (https://wwwn.cdc.gov/nndss/data-and-statistics.html). Cases reported by state health departments to CDC for weekly publication are provisional because of the time needed to complete case follow-up. Therefore, numbers presented in later weeks may reflect changes made to these counts as additional information becomes available. The national surveillance case definitions used to define a case are available on the NNDSS web site at https://wwwn.cdc.gov/nndss/. Information about the weekly provisional data and guides to interpreting data are available at: https://wwwn.cdc.gov/nndss/infectious-tables.html. Footnotes: C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable. ?: No reported cases. N: Not reportable. NA: Not Available. NN: Not Nationally Notifiable. NP: Nationally notifiable but not published. Cum: Cumulative year-to-date counts. Med: Median. Max: Maximum.  Case counts for reporting years 2017 and 2018 are provisional and subject to change. Data for years 2013 through 2016 are finalized. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS....  ? Not reportable in all jurisdictions. Reporting exceptions are available at http://wwwn.cdc.gov/nndss/downloads.html. 	http://data.cdc.gov/api/views/rxmp-xjpc	West Nile Virus Disease	Centers for Disease Control and Prevention	2018-02-01	null	null	https://data.cdc.gov/d/rxmp-xjpc	https://data.cdc.gov/api/views/rxmp-xjpc/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	null	null
