title	datasetIdentifier	disease	authors	created	modified	accessed	landingPage	accessPage	format	conformsTo	geography	apolloLocationCode	ISO_3166	ISO_3166-1	ISO_3166-1_alpha-3
Counts of people diagnosed with Dengue in Netherlands Antilles as reported by public health surveillance.	null	Dengue	Wilbert van Panhuis, Marc Choisy, Xin Xionga, Nian Choka, Pasakorn Akarasewi, Sopon Iamsirithaworn, Sai Lam, Chee Chong, Fook Lam, Bounlay Phommasak, Phengta Vongphrachanh, Khamphaphongphane Bouaphanh, Huy Rekol, Nguyen Hien, Pham Thai, Tran Duong, Jen-Hsiang Chuang, Yu-Lun Liu, Lee-Ching Ng, Yuan Shi, Enrique Tayag, Vito Roque, Lyndon Suy, Richard Jarman, Robert Gibbons, John Velasco, In-Kyu Yoon, Donald Burke, Derek Cummings	null	null	null	www.tycho.pitt.edu/data	http://www.tycho.pitt.edu/data/AN.38362002	csv	Tycho 2.0 format	Netherlands Antilles	542915	AN	null	ANT
Counts of people diagnosed with Dengue hemorrhagic fever in Argentina as reported by public health surveillance.	null	Dengue hemorrhagic fever	Wilbert van Panhuis, Marc Choisy, Xin Xionga, Nian Choka, Pasakorn Akarasewi, Sopon Iamsirithaworn, Sai Lam, Chee Chong, Fook Lam, Bounlay Phommasak, Phengta Vongphrachanh, Khamphaphongphane Bouaphanh, Huy Rekol, Nguyen Hien, Pham Thai, Tran Duong, Jen-Hsiang Chuang, Yu-Lun Liu, Lee-Ching Ng, Yuan Shi, Enrique Tayag, Vito Roque, Lyndon Suy, Richard Jarman, Robert Gibbons, John Velasco, In-Kyu Yoon, Donald Burke, Derek Cummings	null	null	null	www.tycho.pitt.edu/data	http://www.tycho.pitt.edu/data/AR.20927009	csv	Tycho 2.0 format	Argentina	4977	AR	null	ARG
Counts of people diagnosed with Dengue in Argentina as reported by public health surveillance.	null	Dengue	Wilbert van Panhuis, Marc Choisy, Xin Xionga, Nian Choka, Pasakorn Akarasewi, Sopon Iamsirithaworn, Sai Lam, Chee Chong, Fook Lam, Bounlay Phommasak, Phengta Vongphrachanh, Khamphaphongphane Bouaphanh, Huy Rekol, Nguyen Hien, Pham Thai, Tran Duong, Jen-Hsiang Chuang, Yu-Lun Liu, Lee-Ching Ng, Yuan Shi, Enrique Tayag, Vito Roque, Lyndon Suy, Richard Jarman, Robert Gibbons, John Velasco, In-Kyu Yoon, Donald Burke, Derek Cummings	null	null	null	www.tycho.pitt.edu/data	http://www.tycho.pitt.edu/data/AR.38362002	csv	Tycho 2.0 format	Argentina	4977	AR	null	ARG
Counts of people diagnosed with Dengue without warning signs in Argentina as reported by public health surveillance.	null	Dengue without warning signs	Wilbert van Panhuis, Marc Choisy, Xin Xionga, Nian Choka, Pasakorn Akarasewi, Sopon Iamsirithaworn, Sai Lam, Chee Chong, Fook Lam, Bounlay Phommasak, Phengta Vongphrachanh, Khamphaphongphane Bouaphanh, Huy Rekol, Nguyen Hien, Pham Thai, Tran Duong, Jen-Hsiang Chuang, Yu-Lun Liu, Lee-Ching Ng, Yuan Shi, Enrique Tayag, Vito Roque, Lyndon Suy, Richard Jarman, Robert Gibbons, John Velasco, In-Kyu Yoon, Donald Burke, Derek Cummings	null	null	null	www.tycho.pitt.edu/data	http://www.tycho.pitt.edu/data/AR.722862003	csv	Tycho 2.0 format	Argentina	4977	AR	null	ARG
Counts of people diagnosed with Dengue hemorrhagic fever in American Samoa as reported by public health surveillance.	null	Dengue hemorrhagic fever	Wilbert van Panhuis, Marc Choisy, Xin Xionga, Nian Choka, Pasakorn Akarasewi, Sopon Iamsirithaworn, Sai Lam, Chee Chong, Fook Lam, Bounlay Phommasak, Phengta Vongphrachanh, Khamphaphongphane Bouaphanh, Huy Rekol, Nguyen Hien, Pham Thai, Tran Duong, Jen-Hsiang Chuang, Yu-Lun Liu, Lee-Ching Ng, Yuan Shi, Enrique Tayag, Vito Roque, Lyndon Suy, Richard Jarman, Robert Gibbons, John Velasco, In-Kyu Yoon, Donald Burke, Derek Cummings	null	null	null	www.tycho.pitt.edu/data	http://www.tycho.pitt.edu/data/AS.20927009	csv	Tycho 2.0 format	American Samoa	1603	US-AS	null	null
Counts of people diagnosed with Dengue in American Samoa as reported by public health surveillance.	null	Dengue	Wilbert van Panhuis, Marc Choisy, Xin Xionga, Nian Choka, Pasakorn Akarasewi, Sopon Iamsirithaworn, Sai Lam, Chee Chong, Fook Lam, Bounlay Phommasak, Phengta Vongphrachanh, Khamphaphongphane Bouaphanh, Huy Rekol, Nguyen Hien, Pham Thai, Tran Duong, Jen-Hsiang Chuang, Yu-Lun Liu, Lee-Ching Ng, Yuan Shi, Enrique Tayag, Vito Roque, Lyndon Suy, Richard Jarman, Robert Gibbons, John Velasco, In-Kyu Yoon, Donald Burke, Derek Cummings	null	null	null	www.tycho.pitt.edu/data	http://www.tycho.pitt.edu/data/AS.38362002	csv	Tycho 2.0 format	American Samoa	1603	US-AS	null	null
Counts of people diagnosed with Dengue without warning signs in American Samoa as reported by public health surveillance.	null	Dengue without warning signs	Wilbert van Panhuis, Marc Choisy, Xin Xionga, Nian Choka, Pasakorn Akarasewi, Sopon Iamsirithaworn, Sai Lam, Chee Chong, Fook Lam, Bounlay Phommasak, Phengta Vongphrachanh, Khamphaphongphane Bouaphanh, Huy Rekol, Nguyen Hien, Pham Thai, Tran Duong, Jen-Hsiang Chuang, Yu-Lun Liu, Lee-Ching Ng, Yuan Shi, Enrique Tayag, Vito Roque, Lyndon Suy, Richard Jarman, Robert Gibbons, John Velasco, In-Kyu Yoon, Donald Burke, Derek Cummings	null	null	null	www.tycho.pitt.edu/data	http://www.tycho.pitt.edu/data/AS.722862003	csv	Tycho 2.0 format	American Samoa	1603	US-AS	null	null
Counts of people diagnosed with Dengue hemorrhagic fever in Australia as reported by public health surveillance.	null	Dengue hemorrhagic fever	Wilbert van Panhuis, Marc Choisy, Xin Xionga, Nian Choka, Pasakorn Akarasewi, Sopon Iamsirithaworn, Sai Lam, Chee Chong, Fook Lam, Bounlay Phommasak, Phengta Vongphrachanh, Khamphaphongphane Bouaphanh, Huy Rekol, Nguyen Hien, Pham Thai, Tran Duong, Jen-Hsiang Chuang, Yu-Lun Liu, Lee-Ching Ng, Yuan Shi, Enrique Tayag, Vito Roque, Lyndon Suy, Richard Jarman, Robert Gibbons, John Velasco, In-Kyu Yoon, Donald Burke, Derek Cummings	null	null	null	www.tycho.pitt.edu/data	http://www.tycho.pitt.edu/data/AU.20927009	csv	Tycho 2.0 format	Australia	5079	AU	null	AUS
Counts of people diagnosed with Dengue in Australia as reported by public health surveillance.	null	Dengue	Wilbert van Panhuis, Marc Choisy, Xin Xionga, Nian Choka, Pasakorn Akarasewi, Sopon Iamsirithaworn, Sai Lam, Chee Chong, Fook Lam, Bounlay Phommasak, Phengta Vongphrachanh, Khamphaphongphane Bouaphanh, Huy Rekol, Nguyen Hien, Pham Thai, Tran Duong, Jen-Hsiang Chuang, Yu-Lun Liu, Lee-Ching Ng, Yuan Shi, Enrique Tayag, Vito Roque, Lyndon Suy, Richard Jarman, Robert Gibbons, John Velasco, In-Kyu Yoon, Donald Burke, Derek Cummings	null	null	null	www.tycho.pitt.edu/data	http://www.tycho.pitt.edu/data/AU.38362002	csv	Tycho 2.0 format	Australia	5079	AU	null	AUS
Counts of people diagnosed with Dengue without warning signs in Australia as reported by public health surveillance.	null	Dengue without warning signs	Wilbert van Panhuis, Marc Choisy, Xin Xionga, Nian Choka, Pasakorn Akarasewi, Sopon Iamsirithaworn, Sai Lam, Chee Chong, Fook Lam, Bounlay Phommasak, Phengta Vongphrachanh, Khamphaphongphane Bouaphanh, Huy Rekol, Nguyen Hien, Pham Thai, Tran Duong, Jen-Hsiang Chuang, Yu-Lun Liu, Lee-Ching Ng, Yuan Shi, Enrique Tayag, Vito Roque, Lyndon Suy, Richard Jarman, Robert Gibbons, John Velasco, In-Kyu Yoon, Donald Burke, Derek Cummings	null	null	null	www.tycho.pitt.edu/data	http://www.tycho.pitt.edu/data/AU.722862003	csv	Tycho 2.0 format	Australia	5079	AU	null	AUS
Counts of people diagnosed with Dengue hemorrhagic fever in Aruba as reported by public health surveillance.	null	Dengue hemorrhagic fever	Wilbert van Panhuis, Marc Choisy, Xin Xionga, Nian Choka, Pasakorn Akarasewi, Sopon Iamsirithaworn, Sai Lam, Chee Chong, Fook Lam, Bounlay Phommasak, Phengta Vongphrachanh, Khamphaphongphane Bouaphanh, Huy Rekol, Nguyen Hien, Pham Thai, Tran Duong, Jen-Hsiang Chuang, Yu-Lun Liu, Lee-Ching Ng, Yuan Shi, Enrique Tayag, Vito Roque, Lyndon Suy, Richard Jarman, Robert Gibbons, John Velasco, In-Kyu Yoon, Donald Burke, Derek Cummings	null	null	null	www.tycho.pitt.edu/data	http://www.tycho.pitt.edu/data/AW.20927009	csv	Tycho 2.0 format	Aruba	4971	AW	null	ABW
Counts of people diagnosed with Dengue in Aruba as reported by public health surveillance.	null	Dengue	Wilbert van Panhuis, Marc Choisy, Xin Xionga, Nian Choka, Pasakorn Akarasewi, Sopon Iamsirithaworn, Sai Lam, Chee Chong, Fook Lam, Bounlay Phommasak, Phengta Vongphrachanh, Khamphaphongphane Bouaphanh, Huy Rekol, Nguyen Hien, Pham Thai, Tran Duong, Jen-Hsiang Chuang, Yu-Lun Liu, Lee-Ching Ng, Yuan Shi, Enrique Tayag, Vito Roque, Lyndon Suy, Richard Jarman, Robert Gibbons, John Velasco, In-Kyu Yoon, Donald Burke, Derek Cummings	null	null	null	www.tycho.pitt.edu/data	http://www.tycho.pitt.edu/data/AW.38362002	csv	Tycho 2.0 format	Aruba	4971	AW	null	ABW
Counts of people diagnosed with Dengue without warning signs in Aruba as reported by public health surveillance.	null	Dengue without warning signs	Wilbert van Panhuis, Marc Choisy, Xin Xionga, Nian Choka, Pasakorn Akarasewi, Sopon Iamsirithaworn, Sai Lam, Chee Chong, Fook Lam, Bounlay Phommasak, Phengta Vongphrachanh, Khamphaphongphane Bouaphanh, Huy Rekol, Nguyen Hien, Pham Thai, Tran Duong, Jen-Hsiang Chuang, Yu-Lun Liu, Lee-Ching Ng, Yuan Shi, Enrique Tayag, Vito Roque, Lyndon Suy, Richard Jarman, Robert Gibbons, John Velasco, In-Kyu Yoon, Donald Burke, Derek Cummings	null	null	null	www.tycho.pitt.edu/data	http://www.tycho.pitt.edu/data/AW.722862003	csv	Tycho 2.0 format	Aruba	4971	AW	null	ABW
Counts of people diagnosed with Dengue hemorrhagic fever in Barbados as reported by public health surveillance.	null	Dengue hemorrhagic fever	Wilbert van Panhuis, Marc Choisy, Xin Xionga, Nian Choka, Pasakorn Akarasewi, Sopon Iamsirithaworn, Sai Lam, Chee Chong, Fook Lam, Bounlay Phommasak, Phengta Vongphrachanh, Khamphaphongphane Bouaphanh, Huy Rekol, Nguyen Hien, Pham Thai, Tran Duong, Jen-Hsiang Chuang, Yu-Lun Liu, Lee-Ching Ng, Yuan Shi, Enrique Tayag, Vito Roque, Lyndon Suy, Richard Jarman, Robert Gibbons, John Velasco, In-Kyu Yoon, Donald Burke, Derek Cummings	null	null	null	www.tycho.pitt.edu/data	http://www.tycho.pitt.edu/data/BB.20927009	csv	Tycho 2.0 format	Barbados	5135	BB	null	BRB
Counts of people diagnosed with Dengue in Barbados as reported by public health surveillance.	null	Dengue	Wilbert van Panhuis, Marc Choisy, Xin Xionga, Nian Choka, Pasakorn Akarasewi, Sopon Iamsirithaworn, Sai Lam, Chee Chong, Fook Lam, Bounlay Phommasak, Phengta Vongphrachanh, Khamphaphongphane Bouaphanh, Huy Rekol, Nguyen Hien, Pham Thai, Tran Duong, Jen-Hsiang Chuang, Yu-Lun Liu, Lee-Ching Ng, Yuan Shi, Enrique Tayag, Vito Roque, Lyndon Suy, Richard Jarman, Robert Gibbons, John Velasco, In-Kyu Yoon, Donald Burke, Derek Cummings	null	null	null	www.tycho.pitt.edu/data	http://www.tycho.pitt.edu/data/BB.38362002	csv	Tycho 2.0 format	Barbados	5135	BB	null	BRB
Counts of people diagnosed with Dengue without warning signs in Barbados as reported by public health surveillance.	null	Dengue without warning signs	Wilbert van Panhuis, Marc Choisy, Xin Xionga, Nian Choka, Pasakorn Akarasewi, Sopon Iamsirithaworn, Sai Lam, Chee Chong, Fook Lam, Bounlay Phommasak, Phengta Vongphrachanh, Khamphaphongphane Bouaphanh, Huy Rekol, Nguyen Hien, Pham Thai, Tran Duong, Jen-Hsiang Chuang, Yu-Lun Liu, Lee-Ching Ng, Yuan Shi, Enrique Tayag, Vito Roque, Lyndon Suy, Richard Jarman, Robert Gibbons, John Velasco, In-Kyu Yoon, Donald Burke, Derek Cummings	null	null	null	www.tycho.pitt.edu/data	http://www.tycho.pitt.edu/data/BB.722862003	csv	Tycho 2.0 format	Barbados	5135	BB	null	BRB
Counts of people diagnosed with Dengue hemorrhagic fever in Bangladesh as reported by public health surveillance.	null	Dengue hemorrhagic fever	Wilbert van Panhuis, Marc Choisy, Xin Xionga, Nian Choka, Pasakorn Akarasewi, Sopon Iamsirithaworn, Sai Lam, Chee Chong, Fook Lam, Bounlay Phommasak, Phengta Vongphrachanh, Khamphaphongphane Bouaphanh, Huy Rekol, Nguyen Hien, Pham Thai, Tran Duong, Jen-Hsiang Chuang, Yu-Lun Liu, Lee-Ching Ng, Yuan Shi, Enrique Tayag, Vito Roque, Lyndon Suy, Richard Jarman, Robert Gibbons, John Velasco, In-Kyu Yoon, Donald Burke, Derek Cummings	null	null	null	www.tycho.pitt.edu/data	http://www.tycho.pitt.edu/data/BD.20927009	csv	Tycho 2.0 format	Bangladesh	5039	BD	null	BGD
Counts of people diagnosed with Dengue in Bangladesh as reported by public health surveillance.	null	Dengue	Wilbert van Panhuis, Marc Choisy, Xin Xionga, Nian Choka, Pasakorn Akarasewi, Sopon Iamsirithaworn, Sai Lam, Chee Chong, Fook Lam, Bounlay Phommasak, Phengta Vongphrachanh, Khamphaphongphane Bouaphanh, Huy Rekol, Nguyen Hien, Pham Thai, Tran Duong, Jen-Hsiang Chuang, Yu-Lun Liu, Lee-Ching Ng, Yuan Shi, Enrique Tayag, Vito Roque, Lyndon Suy, Richard Jarman, Robert Gibbons, John Velasco, In-Kyu Yoon, Donald Burke, Derek Cummings	null	null	null	www.tycho.pitt.edu/data	http://www.tycho.pitt.edu/data/BD.38362002	csv	Tycho 2.0 format	Bangladesh	5039	BD	null	BGD
Counts of people diagnosed with Dengue without warning signs in Bangladesh as reported by public health surveillance.	null	Dengue without warning signs	Wilbert van Panhuis, Marc Choisy, Xin Xionga, Nian Choka, Pasakorn Akarasewi, Sopon Iamsirithaworn, Sai Lam, Chee Chong, Fook Lam, Bounlay Phommasak, Phengta Vongphrachanh, Khamphaphongphane Bouaphanh, Huy Rekol, Nguyen Hien, Pham Thai, Tran Duong, Jen-Hsiang Chuang, Yu-Lun Liu, Lee-Ching Ng, Yuan Shi, Enrique Tayag, Vito Roque, Lyndon Suy, Richard Jarman, Robert Gibbons, John Velasco, In-Kyu Yoon, Donald Burke, Derek Cummings	null	null	null	www.tycho.pitt.edu/data	http://www.tycho.pitt.edu/data/BD.722862003	csv	Tycho 2.0 format	Bangladesh	5039	BD	null	BGD
Counts of people diagnosed with Dengue hemorrhagic fever in Saint Barthelemy as reported by public health surveillance.	null	Dengue hemorrhagic fever	Wilbert van Panhuis, Marc Choisy, Xin Xionga, Nian Choka, Pasakorn Akarasewi, Sopon Iamsirithaworn, Sai Lam, Chee Chong, Fook Lam, Bounlay Phommasak, Phengta Vongphrachanh, Khamphaphongphane Bouaphanh, Huy Rekol, Nguyen Hien, Pham Thai, Tran Duong, Jen-Hsiang Chuang, Yu-Lun Liu, Lee-Ching Ng, Yuan Shi, Enrique Tayag, Vito Roque, Lyndon Suy, Richard Jarman, Robert Gibbons, John Velasco, In-Kyu Yoon, Donald Burke, Derek Cummings	null	null	null	www.tycho.pitt.edu/data	http://www.tycho.pitt.edu/data/BL.20927009	csv	Tycho 2.0 format	Saint Barthelemy	6368	FR-BL	null	null
Counts of people diagnosed with Dengue in Saint Barthelemy as reported by public health surveillance.	null	Dengue	Wilbert van Panhuis, Marc Choisy, Xin Xionga, Nian Choka, Pasakorn Akarasewi, Sopon Iamsirithaworn, Sai Lam, Chee Chong, Fook Lam, Bounlay Phommasak, Phengta Vongphrachanh, Khamphaphongphane Bouaphanh, Huy Rekol, Nguyen Hien, Pham Thai, Tran Duong, Jen-Hsiang Chuang, Yu-Lun Liu, Lee-Ching Ng, Yuan Shi, Enrique Tayag, Vito Roque, Lyndon Suy, Richard Jarman, Robert Gibbons, John Velasco, In-Kyu Yoon, Donald Burke, Derek Cummings	null	null	null	www.tycho.pitt.edu/data	http://www.tycho.pitt.edu/data/BL.38362002	csv	Tycho 2.0 format	Saint Barthelemy	6368	FR-BL	null	null
Counts of people diagnosed with Dengue hemorrhagic fever in Bermuda as reported by public health surveillance.	null	Dengue hemorrhagic fever	Wilbert van Panhuis, Marc Choisy, Xin Xionga, Nian Choka, Pasakorn Akarasewi, Sopon Iamsirithaworn, Sai Lam, Chee Chong, Fook Lam, Bounlay Phommasak, Phengta Vongphrachanh, Khamphaphongphane Bouaphanh, Huy Rekol, Nguyen Hien, Pham Thai, Tran Duong, Jen-Hsiang Chuang, Yu-Lun Liu, Lee-Ching Ng, Yuan Shi, Enrique Tayag, Vito Roque, Lyndon Suy, Richard Jarman, Robert Gibbons, John Velasco, In-Kyu Yoon, Donald Burke, Derek Cummings	null	null	null	www.tycho.pitt.edu/data	http://www.tycho.pitt.edu/data/BM.20927009	csv	Tycho 2.0 format	Bermuda	5046	BM	null	BMU
Counts of people diagnosed with Dengue in Bermuda as reported by public health surveillance.	null	Dengue	Wilbert van Panhuis, Marc Choisy, Xin Xionga, Nian Choka, Pasakorn Akarasewi, Sopon Iamsirithaworn, Sai Lam, Chee Chong, Fook Lam, Bounlay Phommasak, Phengta Vongphrachanh, Khamphaphongphane Bouaphanh, Huy Rekol, Nguyen Hien, Pham Thai, Tran Duong, Jen-Hsiang Chuang, Yu-Lun Liu, Lee-Ching Ng, Yuan Shi, Enrique Tayag, Vito Roque, Lyndon Suy, Richard Jarman, Robert Gibbons, John Velasco, In-Kyu Yoon, Donald Burke, Derek Cummings	null	null	null	www.tycho.pitt.edu/data	http://www.tycho.pitt.edu/data/BM.38362002	csv	Tycho 2.0 format	Bermuda	5046	BM	null	BMU
Counts of people diagnosed with Dengue without warning signs in Bermuda as reported by public health surveillance.	null	Dengue without warning signs	Wilbert van Panhuis, Marc Choisy, Xin Xionga, Nian Choka, Pasakorn Akarasewi, Sopon Iamsirithaworn, Sai Lam, Chee Chong, Fook Lam, Bounlay Phommasak, Phengta Vongphrachanh, Khamphaphongphane Bouaphanh, Huy Rekol, Nguyen Hien, Pham Thai, Tran Duong, Jen-Hsiang Chuang, Yu-Lun Liu, Lee-Ching Ng, Yuan Shi, Enrique Tayag, Vito Roque, Lyndon Suy, Richard Jarman, Robert Gibbons, John Velasco, In-Kyu Yoon, Donald Burke, Derek Cummings	null	null	null	www.tycho.pitt.edu/data	http://www.tycho.pitt.edu/data/BM.722862003	csv	Tycho 2.0 format	Bermuda	5046	BM	null	BMU
