title	description	datasetIdentifier	disease	authors	created	modified	accessed	landingPage	accessPage	format	conformsTo	license	geography	apolloLocationCode	ISO_3166	ISO_3166-1	ISO_3166-1_alpha-3	population_required	iri
NNDSS - Table II. Cryptosporidiosis to Dengue (2017)	"NNDSS - Table II. Cryptosporidiosis to Dengue - 2017. In this Table, provisional cases of selected notifiable diseases (?1,000 cases reported during the preceding year), and selected low frequency diseases are displayed. The Table includes total number of cases reported in the United States, by region and by states, in accordance with the current method of displaying MMWR data. Data on United States exclude counts from US territories. Note: These are provisional cases of selected national notifiable diseases, from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data reported by the 50 states, New York City, the District of Columbia, and the U.S. territories are collated and published weekly as numbered tables printed in the back of the Morbidity and Mortality Weekly Report (MMWR). Cases reported by state health departments to CDC for weekly publication are provisional because of ongoing revision of information and delayed reporting. Case counts in this table are presented as they were published in the MMWR issues. Therefore, numbers listed in later MMWR weeks may reflect changes made to these counts as additional information becomes available. Footnotes:  C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable. ?: No reported cases. N: Not reportable. NN: Not Nationally Notifiable. NP: Nationally notifiable but not published. Cum: Cumulative year-to-date counts. Med: Median. Max: Maximum.  Three low incidence conditions, rubella, rubella congenital, and tetanus, are in Table II to facilitate case count verification with reporting jurisdictions.  ? Case counts for reporting year 2017 are provisional and subject to change. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. Data for tuberculosis are displayed in Table IV, which appears quarterly. § Includes data for dengue and dengue-like illness. "	https://data.cdc.gov/api/views/yakh-mjxn	Cryptosporidiosis	Centers for Disease Control and Prevention	1/19/17	null	null	https://data.cdc.gov/d/yakh-mjxn	https://data.cdc.gov/api/views/yakh-mjxn/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	"Cryptosporidium hominis in the United States, Cryptosporidium parvum in the United States, Dengue virus in the United States"	"http://www.pitt.edu/obc/IDE_0000001866, http://www.pitt.edu/obc/IDE_0000001852, http://www.pitt.edu/obc/IDE_0000001420"
NNDSS - Table II. Giardiasis to Haemophilus influenza (2014)	"NNDSS - Table II. Giardiasis to Haemophilus influenza - 2018. In this Table, provisional cases of selected notifiable diseases (?1,000 cases reported during the preceding year), and selected low frequency diseases are displayed. The Table includes total number of cases reported in the United States, by region and by states or territory. Note: This table contains provisional cases of selected national notifiable diseases from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data from the 50 states, New York City, the District of Columbia and the U.S. territories are collated and published weekly on the NNDSS Data and Statistics web page (https://wwwn.cdc.gov/nndss/data-and-statistics.html). Cases reported by state health departments to CDC for weekly publication are provisional because of the time needed to complete case follow-up. Therefore, numbers presented in later weeks may reflect changes made to these counts as additional information becomes available. The national surveillance case definitions used to define a case are available on the NNDSS web site at https://wwwn.cdc.gov/nndss/. Information about the weekly provisional data and guides to interpreting data are available at: https://wwwn.cdc.gov/nndss/infectious-tables.html. Footnotes: C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable. ?: No reported cases. N: Not reportable. NA: Not Available. NN: Not Nationally Notifiable. NP: Nationally notifiable but not published. Cum: Cumulative year-to-date counts. Med: Median. Max: Maximum.  Case counts for reporting years 2017 and 2018 are provisional and subject to change. Data for years 2013 through 2016 are finalized. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS....  "	https://data.cdc.gov/api/views/m6gf-vfkz	Giardiasis	Centers for Disease Control and Prevention	2/1/18	null	null	https://data.cdc.gov/d/m6gf-vfkz	https://data.cdc.gov/api/views/m6gf-vfkz/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	"Haemophilus influenzae virus in the United States, Neisseria gonorrhoeae in the United States"	"http://www.pitt.edu/obc/IDE_0000001861, http://www.pitt.edu/obc/IDE_0000001423, http://www.pitt.edu/obc/IDE_0000001422"
"Sixth (6th) grade immunization data by school, 2015-2016"	Washington sixth grade immunization rates by school for 2015-2016	https://data.wa.gov/api/views/9vf7-7een	Department Of Health	data.wa.gov	4/13/16	null	null	https://data.wa.gov/d/9vf7-7een	https://data.wa.gov/api/views/9vf7-7een/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	humans in the United States	http://www.pitt.edu/obc/IDE_0000000021
NNDSS - Table IV. Tuberculosis (2015)	"NNDSS - Table IV. Tuberculosis - 2015.This Table includes total number of cases reported in the United States, by region and by states, in accordance with the current method of displaying MMWR data. Data on United States will exclude counts from US territories. Footnote:C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable. -: No reported cases. N: Not reportable. NN: Not Nationally Notifiable Cum: Cumulative year-to-date counts. Min: Minimum. Max: Maximum. * Case counts for reporting year 2014 and 2015 are provisional through the end of the quarter, January 2, 2016. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS... Data for TB are displayed quarterly. "	https://data.cdc.gov/api/views/ei7y-3g6s	Tb	Centers for Disease Control and Prevention	5/7/16	null	null	https://data.cdc.gov/d/ei7y-3g6s	https://data.cdc.gov/api/views/ei7y-3g6s/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	Mycobacterium tuberculosis in the United States	http://www.pitt.edu/obc/IDE_0000000263
NNDSS - Table I. infrequently reported notifiable diseases (2015)	"NNDSS - Table I. infrequently reported notifiable diseases - 2015. In this Table, provisional cases of selected infrequently reported notifiable diseases (<1,000 cases reported during the preceding year) are displayed. Note:These are provisional cases of selected national notifiable diseases, from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data reported by the 50 states, New York City, the District of Columbia, and the U.S. territories are collated and published weekly as numbered tables printed in the back of the Morbidity and Mortality Weekly Report (MMWR). Cases reported by state health departments to CDC for weekly publication are provisional because of ongoing revision of information and delayed reporting. Case counts in these tables are presented as they were published in the MMWR issues. Therefore, numbers listed in later MMWR weeks may reflect changes made to these counts as additional information becomes available. Footnote:-: No reported cases N: Not reportable. NN: Not Nationally Notifiable. NP: Nationally notifiable but not published. Cum: Cumulative year-to-date counts. * Three low incidence conditions, rubella, rubella congenital, and tetanus, have been moved to Table 2 to facilitate case count verification with reporting jurisdictions. ??? Case counts for reporting year 2015 are provisional and subject to change. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS.... ?? Calculated by summing the incidence counts for the current week, the 2 weeks preceding the current week, and the 2 weeks following the current week, for a total of 5 preceding years. The total sum of incident cases is then divided by 25 weeks. Additional information is available at http://wwwn.cdc.gov/nndss/document/5yearweeklyaverage.pdf. ?? Data for the Arboviral disease, Chikungunya, and Hantavirus infection disease, non-Hantavirus Pulmonary Syndrome (HPS), will be displayed in this table after the CDC obtains Office of Management and Budget Paperwork Reduction Act approval to receive data for these conditions. ** Includes both neuroinvasive and nonneuroinvasive. Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Zoonotic, Vector-Borne, and Enteric Diseases (ArboNET Surveillance). Data for West Nile virus are available in Table II. ????? Not reportable in all states. Data from states where the condition is not reportable are excluded from this table except starting in 2007 for the arboviral diseases, STD data, TB data, and influenza-associated pediatric mortality, and in 2003 for SARS-CoV. Reporting exceptions are available at http://wwwn.cdc.gov/nndss/downloads.html. ???? Data for H. influenzae (all ages, all serotypes) are available in Table II. ???? Updated weekly from reports to the Influenza Division, National Center for Immunization and Respiratory Diseases. Please refer to the MMWR publication for weekly updates to the footnote for this condition. *** Please refer to the MMWR publication for weekly updates to the footnote for this condition. ??????? Data for meningococcal disease (all serogroups) are available in Table II. ?????? Please refer to the MMWR publication for weekly updates to the footnote for this condition. ?????? Updated weekly from reports to the Division of STD Prevention, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention. **** Please refer to the MMWR publication for weekly updates to the footnote for this condition. See Table II for Dengue Hemorrhagic Fever. "	https://data.cdc.gov/api/views/pb4z-432k	Anthrax	Centers for Disease Control and Prevention	5/7/16	null	null	https://data.cdc.gov/d/pb4z-432k	https://data.cdc.gov/api/views/pb4z-432k/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	"Bacillus anthracis in United States, Chikungunya virus in United States, Eastern Equine encephalitis virus in United States, Jamestown Canyon virus in United States, La Crosse virus in United States, Powassan virus in United States, St. Louis encephalitis virus in United States, Western Equine encephalitis virus in United States, Brucella abortus in the United States, Brucella canis in the United States, Brucella melitensis in the United States, Brucella suis in the United States, Haemophilus ducreyi in the United States, Clostridium botulinum in the United States, Vibrio cholerae in the United States, Corynebacterium diphtheriae in the United States, Cyclospora cayetanensis in the United States, Haemophilus influenzae in the United States, Mycobacterium leprae in the United States, Mycobacterium lepromatosis in the United States, Hantavirus in the United States, Hepatitis B virus in the United States, Escherichia coli in the United States, Influenza virus in the United States, Leptospira in the United States, Listeria monocytogenes in the United States, Measles virus in the United States, Yersinia pestis in the United States, Human poliovirus 1 in the United States, Human poliovirus 3 in the United States, Rabies virus in the United States, Chlamydia psittaci in the United States, Coxiella burnetii in the United States, Treponema pallidum in the United States, Salmonella typhi in the United States, Streptococcus pyogenes in the United States, Streptococcus aureus in the United States, Trichinella spiralis in the United States, Francisella tularensis in the United States, Junin virus in the United States, Lassa virus in the United States, Lujo virus in the United States, Venezuelan hemorrhagic fever virus in the United States, Machupo virus in the United States, Marburg virus in the United States, Sabia virus in the United States, Yellow fever virus in the United States, Crimean�Congo hemorrhagic fever virus in the United States, Ebola virus in the United States"	"http://www.pitt.edu/obc/IDE_0000001418, http://www.pitt.edu/obc/IDE_0000001602, http://www.pitt.edu/obc/IDE_0000005308, http://www.pitt.edu/obc/IDE_0000005310, http://www.pitt.edu/obc/IDE_0000005312, http://www.pitt.edu/obc/IDE_0000005314, http://www.pitt.edu/obc/IDE_0000005316, http://www.pitt.edu/obc/IDE_0000005317,  http://www.pitt.edu/obc/IDE_0000001869, http://www.pitt.edu/obc/IDE_0000001848, http://www.pitt.edu/obc/IDE_0000001839, http://www.pitt.edu/obc/IDE_0000001859, http://www.pitt.edu/obc/IDE_0000005319, http://www.pitt.edu/obc/IDE_0000005321, http://www.pitt.edu/obc/IDE_0000001419, http://www.pitt.edu/obc/IDE_0000001841, http://www.pitt.edu/obc/IDE_0000005321, http://www.pitt.edu/obc/IDE_0000001423, http://www.pitt.edu/obc/IDE_0000001844, http://www.pitt.edu/obc/IDE_0000001837, http://www.pitt.edu/obc/IDE_0000005324, http://www.pitt.edu/obc/IDE_0000001867, http://www.pitt.edu/obc/IDE_0000001424, http://www.pitt.edu/obc/IDE_0000000420, http://www.pitt.edu/obc/IDE_0000005326, http://www.pitt.edu/obc/IDE_0000001863, http://www.pitt.edu/obc/IDE_0000000124, http://www.pitt.edu/obc/IDE_0000005328, http://www.pitt.edu/obc/IDE_0000005334, http://www.pitt.edu/obc/IDE_0000005333, http://www.pitt.edu/obc/IDE_0000001167, http://www.pitt.edu/obc/IDE_0000001856, http://www.pitt.edu/obc/IDE_0000005335, http://www.pitt.edu/obc/IDE_0000001855, http://www.pitt.edu/obc/IDE_0000001437, http://www.pitt.edu/obc/IDE_0000001872, http://www.pitt.edu/obc/IDE_0000001434, http://www.pitt.edu/obc/IDE_0000001876, http://www.pitt.edu/obc/IDE_0000001858, http://www.pitt.edu/obc/IDE_0000005338, http://www.pitt.edu/obc/IDE_0000005347, http://www.pitt.edu/obc/IDE_0000005348, http://www.pitt.edu/obc/IDE_0000005350, http://www.pitt.edu/obc/IDE_0000005349, http://www.pitt.edu/obc/IDE_0000005351, http://www.pitt.edu/obc/IDE_0000005352, http://www.pitt.edu/obc/IDE_0000001435, http://www.pitt.edu/obc/IDE_0000005353, http://www.pitt.edu/obc/IDE_0000005346"
Performance Metrics - Public Health - Immunization Program - Monthly Vaccine Distribution	"Vaccines have been touted as one of the 10 great public health achievements of the last decade. Currently, 18 diseases can be prevented by vaccines. The current childhood vaccination schedule is estimated to prevent 42,000 deaths and 20 million cases of disease. CDPH distributes vaccine to nearly 470 healthcare facilities throughout the city of Chicago that are enrolled in the Vaccines for Children (VFC) program. This metric provides the number of doses of vaccine distributed each month. For more information about CDPH?s Immunization Program, see https://www.cityofchicago.org/city/en/depts/cdph/provdrs/health_protection/svcs/immunization1.html"	https://data.cityofchicago.org/api/views/7g62-yrf5	Health	data.cityofchicago.org	2/4/15	null	null	https://data.cityofchicago.org/d/7g62-yrf5	https://data.cityofchicago.org/api/views/7g62-yrf5/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	humans in the United States	http://www.pitt.edu/obc/IDE_0000000021
"All students, kindergarten through 12th grade, immunization data by school, 2015-2016"	Washington student immunization rates by school for 2015-2016	https://data.wa.gov/api/views/ie96-cgrn	Department Of Health	data.wa.gov	4/13/16	null	null	https://data.wa.gov/d/ie96-cgrn	https://data.wa.gov/api/views/ie96-cgrn/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	humans in the United States	http://www.pitt.edu/obc/IDE_0000000021
"Kindergarten Immunization Data, 2014-2015"	Immunization status of Washington State kindergartners for school year 2014-15	https://data.wa.gov/api/views/3nrj-de9w	Department Of Health	data.wa.gov	11/25/15	null	null	https://data.wa.gov/d/3nrj-de9w	https://data.wa.gov/api/views/3nrj-de9w/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	humans in the United States	http://www.pitt.edu/obc/IDE_0000000021
NNDSS - Table II. Meningococcal disease to Pertussis (2018)	"NNDSS - Table II. Meningococcal disease to Pertussis - 2018. In this Table, provisional cases of selected notifiable diseases (?1,000 cases reported during the preceding year), and selected low frequency diseases are displayed. The Table includes total number of cases reported in the United States, by region and by states or territory. Note: This table contains provisional cases of selected national notifiable diseases from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data from the 50 states, New York City, the District of Columbia and the U.S. territories are collated and published weekly on the NNDSS Data and Statistics web page (https://wwwn.cdc.gov/nndss/data-and-statistics.html). Cases reported by state health departments to CDC for weekly publication are provisional because of the time needed to complete case follow-up. Therefore, numbers presented in later weeks may reflect changes made to these counts as additional information becomes available. The national surveillance case definitions used to define a case are available on the NNDSS web site at https://wwwn.cdc.gov/nndss/. Information about the weekly provisional data and guides to interpreting data are available at: https://wwwn.cdc.gov/nndss/infectious-tables.html. Footnotes: C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable. ?: No reported cases. N: Not reportable. NA: Not Available. NN: Not Nationally Notifiable. NP: Nationally notifiable but not published. Cum: Cumulative year-to-date counts. Med: Median. Max: Maximum.  Case counts for reporting years 2017 and 2018 are provisional and subject to change. Data for years 2013 through 2016 are finalized. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS....  "	https://data.cdc.gov/api/views/9qys-crt2	Meningococcal Disease	Centers for Disease Control and Prevention	2/3/18	null	null	https://data.cdc.gov/d/9qys-crt2	https://data.cdc.gov/api/views/9qys-crt2/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	"Mumps virus in the United States, Bordetella pertussis in the United States"	"http://www.pitt.edu/obc/IDE_0000001845, http://www.pitt.edu/obc/IDE_0000001436"
NNDSS - Table I. infrequently reported notifiable diseases (2017)	"NNDSS - Table I. infrequently reported notifiable diseases - 2017. In this Table, provisional cases of selected infrequently reported notifiable diseases (<1,000 cases reported during the preceding year) are displayed. Note: These are provisional cases of selected national notifiable diseases, from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data reported by the 50 states, New York City, the District of Columbia, and the U.S. territories are collated and published weekly as numbered tables printed in the back of the Morbidity and Mortality Weekly Report (MMWR). Cases reported by state health departments to CDC for weekly publication are provisional because of ongoing revision of information and delayed reporting. Case counts in these tables are presented as they were published in the MMWR issues. Therefore, numbers listed in later MMWR weeks may reflect changes made to these counts as additional information becomes available. Footnote: ?: No reported cases. N: Not reportable. NA: Not available. NN: Not Nationally Notifiable. NP: Nationally notifiable but not published. Cum: Cumulative year-to-date counts.  Case counts for reporting year 2017 are provisional and subject to change. Data for years 2012 through 2016 are finalized. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesS....  ? This table does not include cases from the U.S. territories. Three low incidence conditions, rubella, rubella congenital, and tetanus, are in Table II to facilitate case count verification with reporting jurisdictions. § Calculated by summing the incidence counts for the current week, the 2 weeks preceding the current week, and the 2 weeks following the current week, for a total of 5 preceding years. Additional information is available at http://wwwn.cdc.gov/nndss/document/5yearweeklyaverage.pdf. ¶ Updated weekly reports from the Division of Vector-Borne Diseases, National Center for Emerging and Zoonotic Infectious Diseases (ArboNET Surveillance). Data for West Nile virus are available in Table II. ** Not reportable in all jurisdictions. Data from states where the condition is not reportable are excluded from this table, except for the arboviral diseases and influenza-associated pediatric mortality. Reporting exceptions are available at http://wwwn.cdc.gov/nndss/downloads.html. ?? Data for Haemophilus influenzae (all ages, all serotypes) are available in Table II. §§ In 2016, the nationally notifiable condition ?Hepatitis B Perinatal Infection? was renamed to ?Perinatal Hepatitis B Virus Infection? and reflects updates in the 2016 CSTE position statement for Perinatal Hepatitis B Virus Infection. ¶¶ Please refer to the MMWR publication for weekly updates to the footnote for this condition. *** Please refer to the MMWR publication for weekly updates to the footnote for this condition. ??? Data for meningococcal disease (all serogroups) are available in Table II. §§§ Novel influenza A virus infections are human infections with influenza A viruses that are different from currently circulating human seasonal influenza viruses. With the exception of one avian lineage influenza A (H7N2) virus, all novel influenza A virus infections reported to CDC since 2011 have been variant influenza viruses. Total case counts are provided by the Influenza Division, National Center for Immunization and Respiratory Diseases (NCIRD). ¶¶¶ Updated weekly from reports to the Division of STD Prevention, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention. **** Prior to 2015, CDC's National Notifiable Diseases Surveillance System (NNDSS) did not receive electronic data about incident cases of specific viral hemorrhagic fevers; instead data were collected in aggregate as ""viral hemorrhagic fevers"". Beginning in 2015, NNDSS has been updated to receive data for each of the viral hemorrhagic fevers listed below. In addition to the four cases of Ebola diagnosed in the United States to date in 2014, six residents of the United States have been medically evacuated to the United States for care after developing Ebola in West Africa. Ten of the 11 VHF cases reported for 2014 are confirmed as Ebola and one as Lassa fever. ????The Council of State and Territorial Epidemiologists approved position statement 16-ID-01 in June 2016, which modifies the previous case definition and naming convention from ""Zika virus congenital infection"" to ""Zika virus disease, non-congenital?. "	https://data.cdc.gov/api/views/45b4-9j7u	Arboviral Diseases	Centers for Disease Control and Prevention	1/19/17	null	null	https://data.cdc.gov/d/45b4-9j7u	https://data.cdc.gov/api/views/45b4-9j7u/rows.csv?accessType=DOWNLOAD	CSV	null	null	null	null	null	null	null	"Zika virus in the United States, Lassa virus in United States, Lujo virus in United States, Marburg virus in United States, Yellow fever virus in the United States, Bacillus anthracis in United States, Junin virus in United States, Machupo virus in United States, Sabia virus in United States"	"http://www.pitt.edu/obc/IDE_0000001166, http://www.pitt.edu/obc/IDE_0000005347, http://www.pitt.edu/obc/IDE_0000005348, http://www.pitt.edu/obc/IDE_0000005351, http://www.pitt.edu/obc/IDE_0000001435, http://www.pitt.edu/obc/IDE_0000001418, http://www.pitt.edu/obc/IDE_0000005338, http://www.pitt.edu/obc/IDE_0000005349, http://www.pitt.edu/obc/IDE_0000005352"
