title	description	datasetIdentifier	disease	authors	created	modified	accessed	landingPage	accessPage	format	conformsTo	license	geography	apolloLocationCode	ISO_3166	ISO_3166-1	ISO_3166-1_alpha-3
Vaccination Coverage in Chile	This website with data contains data about immunization coverage among the population in Chile at country, region and commune level with yearly temporal resolution from 2005 to 2012 in XLSX format in Spanish. Open access.	MIDAS-ISG:WS-000094	null	The Department of Health Statistics and Information of Chile	null	null	null	http://www.deis.cl/cobertura/	null	XLSX	null	null	Chile		CL	null	null
Health profile on Tuberculosis, Malaria and mortality in Democratic People's Republic of Korea	This website with data contains data about infectious disease from DPR Korea at country level with a yearly temporal resolution from 2002 to 2015 in CVS, XML, and JSON format. Open access.	MIDAS-ISG:WS-000109	null	World Health Organization	null	null	null	http://apps.who.int/gho/data/node.country.country-PRK?lang=en	null	CSV, XML, JSON	null	null	Democratic People?s Republic of Korea		KP	null	null
Data on Tuberculosis and HV in Dominican Republic	This website with data contains data about medication availability for tuberculosis and HIV treatment from Dominican Republic at province level from 2013 to 2016 in PDF format in Spanich. Temporal resolution is weekly or yearly. Open access.	MIDAS-ISG:WS-000114	null	The Ministry of Health of the Republic of Dominican	null	null	null	http://www.sespas.gov.do/sugemi/dlist/index.php?folder=Qk9MRVRJTkVT	null	PDF	null	null	Dominican Republic		DO	null	null
Demographics and Maternal and Child Health in Ecuador	This website with data contains data about the maternal and child reproduction health status, chronic noncommunicable diseases, and population from Ecuador at province level in 2012 in Spanish. Temporal resolution is quarterly or yearly, Open access.	MIDAS-ISG:WS-000115	null	The Ministry of Health of Ecuador	null	null	null	http://www.salud.gob.ec/biblioteca/	null	PDF	null	null	Ecuador		EC	null	null
Health Indicators for Honduras, by WHO, 2011-2013	This website with data contains data about demographics from Honduras at country level from 2011 to 2013 in PDF format. Temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000162	null	World Health Organization	null	null	null	http://www.who.int/gho/countries/hnd.pdf	null	PDF	null	null	Honduras		HN	null	null
Demographics and Mortality for Honduras, by WHO, 2001	This website with data contains data about demographic indicators from Honduras at country level with a yearly temproal resolution in 2001 in HTML format. Open access.	MIDAS-ISG:WS-000163	null	World Health Organization, PAHO	null	null	null	http://www1.paho.org/english/sha/prflhon.htm	null	HTML	null	null	Honduras		HN	null	null
Demographics in Honduras, 2008	This website with data contains data about demographics from Honduras at country level with a yearly temporal resolution in 2008 in HTML format. Open access.	MIDAS-ISG:WS-000164	null	Wikidot	null	null	null	http://hondurashealth.wikidot.com/reports	null	HTML	null	null	Honduras		HN	null	null
Vaccination Coverage Reports by Ireland, 2006-2015	This website with data contains data about immunisation rates in Ireland from 2006 to 2015 year in XLS, CSV format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2006-2015, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000179	null	Department of Health, Ireland	null	null	null	http://health.gov.ie/publications-research/statistics/statistics-by-topic/childhood-immunisation/	null	XLS, CSV	null	null	Ireland		IE	null	null
Population Data of Jamaica, 2008	This website with data contains data about socio-demographics from Jamaica at province level in 2008 in PDF format. Temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000189	null	The Ministry of Health of Jamaica	null	null	null	http://moh.gov.jm/data/jamaica-health-and-lifestyle-survey-2007-8/	null	PDF	null	null	Jamaica		JM	null	null
Population Data and Tuberculosis Cases in Kazakhstan, 2014-2016	This website with data contains data about incidences of tuberculosis, 2016 and morbidity, 2014-2016 in the Republic of Kazakhstan. Spatial coverage is country, and spatial resolution is country, region. Temporal coverage is 2014-2016, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000200	null	Ministry of National Economy of the Republic of Kazakhstan, Committee on Statistics	null	null	null	http://stat.gov.kz/faces/wcnav_externalId/homeNumbersHealthCare?lang=ru&_adf.ctrl-state=d4aayrjc8_4&_afrLoop=2852508813700863#%40%3F_afrLoop%3D2852508813700863%26lang%3Dru%26_adf.ctrl-state%3D1c5ou4cwym_17	null	XLSX	null	null	Kazakhstan		KZ	null	null
Survey Data on HIV and Syphilis, by the Ministry of Health of Malawi, 2003-2016	This website with data contains data about HIV and syphilis and HIV program data in Malawi from 2003 -2016 and 2013-2016 year in PDF and XLS format. Spatial coverage is country, and spatial resolution is region, district, site. Temporal coverage is 2003-2016 and 2013-2016, and temporal resolution is yearly and quarterly. Open access.	MIDAS-ISG:WS-000221	null	Department of HIV & AIDS, Ministry of Health of Malawi	null	null	null	http://www.hiv.health.gov.mw/index.php/our-documents	null	PDF, XLS	null	null	Malawi		MW	null	null
Annual Reports on Infectious Diseases in Malaysia, 2000-2011	This website with data contains anualy publications in terms of Health Facts (2000-2010), Annual Report(2002-2011), Malaysia's Health(2004-2008), and Health Indicators (2003-2010) from Malaysia at country level with a yearly temporal resolution in PDF format in English. Open access.	MIDAS-ISG:WS-000222	null	Ministry of Health of Malaysia	null	null	null	http://www.moh.gov.my/english.php/pages/view/196	null	PDF	null	null	Malaysia		MY	null	null
Tuberculosis, HIV, and Leprosy cases by WHO	This website with data contains data about infectious disease from Maldives at country level with a yearly temporal resolution from 2002 to 2015 in CVS, XML, and JSON format. Open access.	MIDAS-ISG:WS-000224	null	World Health Organization	null	null	null	http://apps.who.int/gho/data/node.country.country-MDV?lang=en	null	CSV, XML, JSON	null	null	Maldives		MV	null	null
WHO report on Tuberculosis in Marshall Islands	This website with data contains data about health profile, including prevalence of tuberculosis in 2015 in Marshall Islands at country level in HTML format. Temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000232	null	World Health Organization	null	null	null	https://extranet.who.int/sree/Reports?op=Replet&name=/WHO_HQ_Reports/G2/PROD/EXT/TBCountryProfile&ISO2=MH&outtype=html	null	HTML	null	null	Marshall Islands		MH	null	null
Statistical Information on HIV, AIDS, Tuberculosis and Vaccination Coverage of the Government of Mauritania	This website with data contains data about percentage of women aged 10 to 16 who receive the HPV vaccine, percentage of pregnant women who received 2 doses of TPI during pregnancy, percentage of children 0-11 months of age receiving 3 doses of pentavalent, BCG, measles, OPV, pneumococcal and rotavirus vacccine, number of notified tuberculosis cases; prevalence of HIV/AIDS cases in Mauritania from 2000 to 2017 in HTML format. Spatial coverage is country, and spatial resolution is national, regional. Temporal coverage is 2000-2017, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000236	null	Ministry of Health of Mauritania	null	null	null	http://www.sante.gov.mr/index.php?page_id=270	null	HTML	null	null	Mauritania		MR	null	null
Vaccination Coverage and Incidences of Infectious Diseases of the Mongolian Statistical Information Service	This database contains data about mortality, Live birth, Infectious diseases, by month, Immunization coverage for infants, Incidence of communicable diseases, by type of disease and region, demographic in Mongolia for 2009-2017, 2010-2016, 2010-2015 year in XLX, CSV, TXT format. Spatial coverage is country, and spatial resolution is country, region. Temporal coverage is 2009-2017, 2010-2016, 2010-2015, and temporal resolution is monthy, yearly. Open access.	MIDAS-ISG:WS-000248	null	Mongolian Statistical Information Service	null	null	null	http://www.1212.mn/stat.aspx?LIST_ID=976_L21	null	XLX, CSV, TXT	null	null	Mongolia		MN	null	null
Health Statistics on Tuberculosis, Malaria, and HIV cases in Myanmar, 2002-2015	This website with data contains data about infectious disease from Myanmar at country level with a yearly temporal resolution from 2002 to 2015 in CVS, XML, and JSON format. Open access.	MIDAS-ISG:WS-000316	null	World Health Organization	null	null	null	http://apps.who.int/gho/data/node.country.country-MMR?lang=en	null	CSV, XML, JSON	null	null	Myanmar		MM	null	null
Health statistics on Tuberculosis, Malaria, Cholera and HIV cases by WHO, 2002-2015	This website with data contains data about infectious disease from Nepal at country level with a yearly temporal resolution from 2002 to 2015 in CVS, XML, and JSON format. Open access.	MIDAS-ISG:WS-000321	null	World Health Organization	null	null	null	http://apps.who.int/gho/data/node.country.country-NPL?lang=en	null	CSV, XML, JSON	null	null	Nepal		NP	null	null
Demographics, Vaccination Coverage and Mortality Data of the Ministry of Health of Nicaragua	This website with data contains data about map of health conditions from Nicarague at province level in 2016 in Nicaragua in HTML format. Temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000337	null	Ministry of Health of Nicaragua	null	null	null	http://mapasalud.minsa.gob.ni/mapa-de-padecimientos-de-salud-de-nicaragua/	null	HTML	null	null	Nicaragua		NI	null	null
Health Profile for Niue by WHO	This website contains data about infectious diseases and immunization from Niue at country level with a yearly temporal resolution from 2002 to 2015 in CSV, XML, and JSON format. Open access.	MIDAS-ISG:WS-000341	null	World Health Organization	null	null	null	http://apps.who.int/gho/data/node.country.country-NIU?lang=en	null	CSV, XML, JSON	null	null	Niue		NU	null	null
Health Profiles for Northern Mariana Islands by WHO	This website with data contains data about population, HIV prevalence in adult, mortality rate due to tuberculosis, tuberculosis prevalence rate from Northern Mariana Islands at country level with a yearly temporal resolution on the webpage. Open access.	MIDAS-ISG:WS-000344	null	World Health Organization, Western Pacific Region (WPRO)	null	null	null	http://hiip.wpro.who.int/portal/Countryprofiles/NorthernMarianaIslands/HealthProfiles.aspx	null	-	null	null	Northern Mariana Islands, Commonwealth of the (USA)		MP	null	null
Population Data of the Ministry of Health of the Republic of Panama, 2005-2017	This website with data contains data about population from Panama at province level from 2005 to 2017 in PDF format in Spanish. Temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000350	null	The Government of Panama	null	null	null	http://www.minsa.gob.pa/informacion-salud/poblacion	null	PDF	null	null	Panama		PA	null	null
Health Indicators of of the Ministry of Health of the Republic of Panama	This website with data contains data about health indicators from Panama at country level from 2000 to 2013 in PDF format in Spanish. Temporal resoultion is yearly. Open access.	MIDAS-ISG:WS-000352	null	The Government of Panama	null	null	null	http://www.minsa.gob.pa/informacion-salud/indicadores-de-salud	null	PDF	null	null	Panama		PA	null	null
Papua New Guinea National Department of Health	This website with data contains annual report or health report can be requested through the online form or by calling.	MIDAS-ISG:WS-000353	null	Papua New Guinea National Department of Health	null	null	null	http://www.health.gov.pg/pages/healthpolicyA.htm	null	unknown	null	null	Papua New Guinea (PNG		PG	null	null
An Overview of the Health Situation in Peru, 1999-2016	This website with data contains overview reports about the health situation in Peru from 1999 to 2016 in PDF format in Spanish. Temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000359	null	National Center for Epidemiology, Prevention and Control of Diseases, The Ministry of Health of Peru	null	null	null	http://www.dge.gob.pe/portal/index.php?option=com_content&view=article&id=405&Itemid=353	null	PDF	null	null	Peru		PE	null	null
Health Profiles for Pitcairn Islands (UK) by WHO	This website with data contains data about population from Pitcairn Islands at state level in 2008 on the webpage. Open access.	MIDAS-ISG:WS-000365	null	World Health Organization, Western Pacific Region (WPRO)	null	null	null	http://hiip.wpro.who.int/portal/Countryprofiles/PitcairnIslands/HealthProfiles/TabId/196/ArtMID/1032/ArticleID/102/Default	null	-	null	null	Pitcairn Islands (UK)		PN	null	null
Morbidity Reports by ICD codes of the National Institute of Public Health of Poland	This website with data contains data about morbidity by ICD-10, sex and residency (country, city, village) in Poland from 2003 to 2015 year in PDF format. Spatial coverage is country, and spatial resolution is country, city, province. Temporal coverage is 2003-2015, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000367	null	National Institute of Public Health of Poland	null	null	null	http://www.statystyka.medstat.waw.pl/wyniki/wyniki.htm	null	HMTL	null	null	Poland		PL	null	null
Population Data of the Federal State Statistics Sevices of Russia	This website with data contains data about demographic, births and deaths in the Federation of Russia from 1917 to 2017 in XLSX format. Spatial coverage is country, and spatial resolution is city, village. Temporal coverage is 1997-2017, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000374	null	Federal State Statistics Sevices of Russia	null	null	null	http://www.gks.ru/wps/wcm/connect/rosstat_main/rosstat/ru/statistics/population/demography/#	null	XLS	null	null	Russia		RU	null	null
Health Indicators and Morbidity by ICD codes of the Federal State Statistics Services of Russia	This website with data contains data about morbidity, maternal and child health, disability in the Russian Federation from 2000 to 2015 year in XLS format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2000-2015, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000375	null	Federal State Statistics Services of Russia	null	null	null	http://www.gks.ru/wps/wcm/connect/rosstat_main/rosstat/ru/statistics/population/healthcare/#	null	XLS	null	null	Russia		RU	null	null
Rwanda Demographic and Health Survey, 2014-2015	This website with data contains data about vaccination rates, HIV cases, prevalence of acute respiratory infections, fever and diarrhea in Rwanda from 2014 to 2015 year in HTML and PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2014-2015, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000378	null	Ministry of Health of Rwanda	null	null	null	http://www.moh.gov.rw/index.php?id=3	null	HTML, PDF	null	null	Rwanda		RW	null	null
The Rwanda Demographic and Health Survey Data	This website with data contains data about vaccinations, prevalence and treatment of symptoms of ARI, prevalence and treatment of fever and diarrhea in Rwanda for 1992, 1996, 2000, 2005, 2007/08, 2010, 2014/2015 year in PDF, XLS, PPT format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 1992, 1996, 2000, 2005, 2007/08, 2010, 2014/2015, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000379	null	National Institute of Statistics Rwanda	null	null	null	http://www.statistics.gov.rw/datasource/demographic-and-health-survey-dhs	null	PDF, XLS, PPT	null	null	Rwanda		RW	null	null
Demographics and Social Indicators of the Government of Saint Lucia	This website contains economic and social status data reports, but no infectious disease data.	MIDAS-ISG:WS-000381	null	The Government of Saint Lucia	null	null	null	http://www.govt.lc/publications/	null	-	null	null	Saint Lucia		LC	null	null
Saint Vincent and the Grenadines Health Statistics by WHO, 2002-2015	This website with data contains data about incidence of tuberculosis per population (2002-2012) from Saint Vincent and the Grenadines at country level with a yearly temporal resolution in CSV, XML, and JSON format. Open access.	MIDAS-ISG:WS-000384	null	World Health Organization	null	null	null	http://apps.who.int/gho/data/node.country.country-VCT?lang=en	null	CSV, XML, JSON	null	null	Saint Vincent and the Grenadines		VC	null	null
Vaccination Coverage Reports of the National Services Scotland, 2011-2016	This website with data contains data about immunization rates in Scotland from 2011 to 2016 in XLSX format. Spatial coverage is country, and spatial resolution is NHS Board, Local Authority. Temporal coverage is 2011-2016, and temporal resolution is quarterly, yearly. Open access.	MIDAS-ISG:WS-000392	null	ISD Scotland, NHS National Services Scotland	null	null	null	http://www.isdscotland.org/Health-Topics/Child-Health/publications/data-tables.asp	null	XLSX	null	null	Scotland		GB	null	null
Demographic and Health Survey (DHS) Reports for Senegal	This website with data contains data about vaccinations, prevalence and treatment of symptoms of ARI, prevalence and treatment of fever and diarrhea in Senegal fror 1986, 1993, 1997, 2010-2015 year in PDF format. Spatial coverage is 1986, 1993, 1997 , 2010-2015 year, and spatial resolution is yearly. Open access.	MIDAS-ISG:WS-000393	null	National Agency for Statistics and Demography of Senegal	null	null	null	http://www.ansd.sn/index.php?option=com_ansd&view=titrepublication&id=38	null	PDF	null	null	Senegal		SN	null	null
Population Data of the Statistical Office of the Republic of Serbia	This website with data contains data about natural movement of population, 1999-2015; Census 2002, population by gender and age; Census 2011, population by ethnicity; Gender statistics, women and men, 2005, 2008, 2011, 2014 in the Republic of Serbia in XLS format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 1999-2015, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000395	null	Republic Statistical Office of the Republic of Serbia	null	null	null	http://webrzs.stat.gov.rs/WebSite/Public/PageView.aspx?pKey=162	null	XLS	null	null	Serbia		RS	null	null
Vaccination Coverage Reports of the Ministry of Health of Seychelles, 2007-2017	This website with data contains data about vaccination coverage rates in Seychelles for 2007, 2011, and 2013-2017 year in TXT format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2007, 2011, 2013-2017 year, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000396	null	Ministry of Health of Seychelles	null	null	null	http://www.health.gov.sc/index.php/reports/	null	TXT	null	null	Seychelles		SC	null	null
Annual Health Bulletins of the Ministry of Health and Sanitation of Sierra Leone, 2015-2017	This website with data contains data about Ebola cases in Sierra Leone in 2015-2017 years in PDF format. Spatial coverage is country, and spatial resolution is national and district. Temporal coverage is 2015-2017 years, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000398	null	Ministry of Health and Sanitation of Sierra Leone, Online Portal	null	null	null	https://mohs-portal.net/news-archives/bulletins/	null	PDF	null	null	Sierra Leone		SL	null	null
Reports on HIV confirmed cases of the Ministry of Health and Sanitation of Sierra Leone	This website with data contains data about HIV testing results in Sierra Leone for 2000, 2005, 2008, 2010, and 2013; years in PDF format. Spatial coverage is country, and spatial resolution is national and district. Temporal coverage is 2000, 2005, 2008, 2010, 2013, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000399	null	Ministry of Health and Sanitation of Sierra Leone, Online Portal	null	null	null	https://mohs-portal.net/reports/other-mdas/	null	PDF	null	null	Sierra Leone		SL	null	null
Population Data of the Statistical Office of the Slovak Republic	This database contains data about demographic from the Republic of Slovakia for 2011 year in CSV format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2011, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000405	null	Statistical Office of the Slovak Republic	null	null	null	http://archiv.statistics.sk/open_data/data/sodb_2011/	null	CSV	null	null	Slovakia		SK	null	null
Selected Compulsary Notified Infectious Disease Data of the Statistical Office of the Slovak Republic, 2004-2015	This database contains data about selected compulsary notified infectious diseases in the Slovak Republic from 2004-2015 year in XLSX, PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2004-2015, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000407	null	DATAcube, Statistical Office of the Slovak Republic	null	null	null	http://datacube.statistics.sk/TM1Web/TM1WebLogin.aspx	null	XLSX, PDF	null	null	Slovakia		SK	null	null
Vaccination Coverage Reports of the Public Health Authority of the Republic of Slovakia, 2014-2016	This website with data contains data about evaluation of the administrative control of vaccination coverage in the Slovak Republic from 2014 to 2016 in PDF format. Spatial coverage is country, and spatial resolution is region. Temporal coverage is 2014-2016, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000408	null	Public Health Authority of the Republic of Slovakia	null	null	null	http://www.uvzsr.sk/index.php?option=com_content&view=article&id=2217&Itemid=117	null	PDF	null	null	Slovakia		SK	null	null
Demographic and Health Survey Report for Solomon Islands, 2015	This website with data contains data about population and children's vaccination from Solomon Islands at country level in 2015 in PDF format. Open access.	MIDAS-ISG:WS-000413	null	Solomon Islands National Statistics Office	null	null	null	http://www.statistics.gov.sb/images/SolomonFiles/Survey_Statistics/DHS_2015/Final-Report_SI-Demographic-and-Health-Survey-2015.pdf	null	PDF	null	null	Solomon Islands		SB	null	null
Solomon Islands Demographic and Health Survey, 2006-2007	This website with data contains data about population and children's vaccination from Solomon Islands at country level in 2007 in PDF format. Open access.	MIDAS-ISG:WS-000414	null	Solomon Islands National Statistics Office	null	null	null	http://www.statistics.gov.sb/statistics/demographic-statistics/demographic-and-health-surveys	null	PDF	null	null	Solomon Islands		SB	null	null
Health Profile for Solomon Islands by WHO	This website with data contains data about population and infectious diseases in Solomon Islands at country from 2009 to 2011 on the webpage. Open access.	MIDAS-ISG:WS-000415	null	World Health Organization, Western Pacific Region (WPRO)	null	null	null	http://hiip.wpro.who.int/portal/Countryprofiles/SolomonIslands.aspx	null	-	null	null	Solomon Islands		SB	null	null
Vaccination Coverage, Morbidity and Mortality due to Vaccine-preventable Diseases by Sudan Health Observatory, 2010	This website with data contains data about vaccination, leading cases of deaths and morbidity, including tuberculosis, malaria and HIV/AIDS in Sudan in 2010 in HTML format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2010, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000428	null	Sudan Health Observatory	null	null	null	http://sho.gov.sd/controller/index.php?mid=107&lid=1	null	HTML	null	null	Sudan		SD	null	null
Annual Reports on Notifiable Infectious Diseases of the Ministry of Health of Swaziland, 2010-2011	This website with data contains data about tuberculosis, diarrheal diseases, STIs, HIV/AIDS, notified cases in Swaziland from 2010 to 2011 year in PDF format. Spatial coverage is country, and spatial resolution is country and region. Temporal coverage is 2010-2011, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000430	null	Ministry of Health of Swaziland	null	null	null	http://www.gov.sz/index.php?option=com_content&view=article&id=751&Itemid=599	null	PDF	null	null	Swaziland		SZ	null	null
Notifiable diseases, Vaccination coverage and Mortality Data of the Swiss Sentinella surveillance system, 2003-2017	This website with data contains data about Influenza, mortality due to influenza, influenza vaccination, measles, mumps, rubella, pneumonia, whooping cough, acute gastroenteritis, tick bite and Lyme borreliosis, pertusis vaccination (=16 years), measles vaccination (=24 months) in Switzerland at country level from 2003 to 2015 in PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2003-2017, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000433	null	Swiss Sentinella surveillance system	null	null	null	http://www.sentinella.ch/fr/publications	null	PDF	null	null	Switzerland		CH	null	null
Demographics, Vaccination Coverage, and Selected Morbidity Indicators of the Syrian Ministry of Health	This website with data contains data about main health indicators, such as demographics, morbidity and immunization coverage in Syria in HTML format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is unknown, and temporal resolution is unknown. Open access.	MIDAS-ISG:WS-000438	null	Syrian Ministry of Health	null	null	null	http://www.moh.gov.sy/Default.aspx?tabid=248&language=en-US	null	HTML	null	null	Syrian Arab Republic		SY	null	null
Demographics, Morbidity, Mortality and Infectious disease Data of the Agency on Statistics under President of the Republic of Tajikistan, 1991-2015	This website with data contains data about yearly demographic, births, deaths, incidences of infectious diseases, tuberculosis, morbidity by ICD in Tajikistan from 2001 to 2015 year in XLSX format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2001-2015, and temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000440	null	Agency on Statistics under President of the Republic of Tajikistan	null	null	null	http://www.stat.tj/en/database/socio-demographic-sector/	null	XLSX	null	null	Tajikistan		TJ	null	null
