title	description	dataset_identifier	disease	authors	created	modified	accessed	landing_page	access_page	format	conforms_to	license	geography	apollo_location_code	iso_3166	iso_3166_1	iso_3166_1_alpha_3	apollo_enabled	on_olympus	population_required	iri
"Annual Data on HIV, AIDS, Tuberculosis and Measles of theMinistry of Health of the Republic of Turkey, 2002-2014"	"This website with data contains data about incidences of AIDS, tuberculosis, measles in Turkey from 2002 to 2014 year in PDF format. Spatial coverage is country, and spatial resoluation is country. Temporal coverage is 2002-2014, and temporal resolution is yearly. Open access."	MIDAS-ISG:WS-000459	null	Ministry of Health of the Republic of Turkey	null	null	null	"http://www.saglik.gov.tr/TR,11588/istatistik-yilliklari.html"	null	PDF	null	null	Turkey	5100	TR	null	null	null	null	HIV-1 in Turkey	http://www.pitt.edu/obc/IDE_0000004190
"Annual Data on HIV, AIDS, Tuberculosis and STD cases of the Ministry of Health of Suriname, 1994-2003"	This website with data contains data about HIV/AIDS/SOA from Suriname at country or province level with a yearly temporal resolution from 1993 to 2003 in Dutch.	MIDAS-ISG:WS-000429	null	The Ministry of Health of Suriname	null	null	null	http://www.gov.sr/ministerie-van-volksgezondheid/publicaties/data-en-statistieken.aspx	null	PDF	null	null	Suriname	5142	SR	null	null	null	null	HIV-1 in Suriname	http://www.pitt.edu/obc/IDE_0000004306
"Annual Data on Life Expectancy, General Mortality Rates, Number of Settlements Located in Zones with High Radiation, Population Migration, Natural Increase, Marriages, and Divorces in Belarus"	"This website with data contains data about demographic and vital statistics in Belarus from 1996 to 2017 by year and regions in HTML format. Spatial coverage is country, and spatial resoluation is country, subcountry, state. Temporal coverage is 1996-2017, and temporal resoluation is yearly.Open access."	MIDAS-ISG:WS-000042	null	"National Statistical Committee of the Republic of Belarus, section: health care"	null	null	null	http://www.belstat.gov.by/ofitsialnaya-statistika/solialnaya-sfera/demografiya_2/	null	HTML	null	null	Belarus	4972	BY	null	null	null	null	humans in Belarus	http://www.pitt.edu/obc/IDE_0000000860
"Annual Data on Malaria cases of the National Malaria Control Center, 2005"	"This website with data contains data about notifiable and communicable diseases in Zambia for 2005 year in PDF format. Spatial coverage is country, and spatial resolution is country and province. Temporal coverage is 20052, and temporal resolution is yearly. Open access."	MIDAS-ISG:WS-000525	null	National Malaria Control Centre	null	null	null	http://www.nmcc.org.zm/publications.htm	null	PDF	null	null	Zambia	5066	ZM	null	null	null	null	Plasmodium falciparum in Zambia	http://www.pitt.edu/obc/IDE_0000004567
Annual Data on Notifiable Diseases of Carlos III Health Institute of Spain	"This website with data contains data about annual incidences of notifiable infectious diseases in Spain by region from 1997 to 2015 in PDF format. Spatial coverage is country, and spatial resolution is country, region. Temporal coverage is 1997-2015, and temporal resolution is yearly. Open access."	MIDAS-ISG:WS-000422	null	Carlos III Health Institute	null	null	null	http://www.isciii.es/ISCIII/es/contenidos/fd-servicios-cientifico-tecnicos/fd-vigilancias-alertas/fd-enfermedades/enfermedades-declaracion-obligatoria-series-temporales.shtml	null	PDF	null	null	Spain	4978	ES	null	null	null	null	Influenza virus in Spain	http://www.pitt.edu/obc/IDE_0000002114
Annual Data on Notifiable Infectious Diseases of the Department of Public Health of California	This website with data contains data about communicable diseases from California at county level at a yearly temporal resolution from 1994 to 2015 in PDF format. Open access.	MIDAS-ISG:WS-000503	null	The Department of Public Health of California	null	null	null	https://archive.cdph.ca.gov/data/statistics/Pages/CDdata.aspx	null	PDF	null	null	United States	1216	US	null	null	null	null	Yersinia enterocolitica in the United States	http://www.pitt.edu/obc/IDE_0000004596
Annual Epidemiological Bulletins of The Ministry of Health of Uruguay	This website with data contains data about epidemiological bulletin from Uruguay at country level in 2016 and 2017 including the past decade data in PDF format in Spanish. Temporal resolution is yearly. Open access.	MIDAS-ISG:WS-000507	null	The Ministry of Health of Uruguay	null	null	null	http://www.msp.gub.uy/publicaciones/epidemiolog%C3%ADa/datos-boletines-recomendaciones	null	PDF	null	null	Uruguay	5098	UY	null	null	null	null	HIV-1 in Uruguay	http://www.pitt.edu/obc/IDE_0000004312
"Annual Epidemiological Surveillance Report of the Ministry of Public Health of Thailand, 2002"	"This website with data contains data about notifiable diseases in Thailand from 1993 to 2002 years in HTML format in Thai. Spatial coverage is country, and spatial resolution is country, region, zone, province. Temporal coverage is 1993-2002, and temporal resolution is yearly, monthly. Open access."	MIDAS-ISG:WS-000444	null	"Bureau of Epidemiology, Department of Disease Control, Ministry of Public Health of Thailand"	null	null	null	http://www.boe.moph.go.th/Annual/Annual_45/Annual_45/annual_index_1.html	null	HTML	null	null	Thailand	4975	TH	null	null	null	null	Dengue virus in Taiwan	http://www.pitt.edu/obc/IDE_0000001648
"Annual Epidemiological Surveillance Report of the Ministry of Public Health of Thailand, 2011"	"This website with data contains data about notifiable diseases in Thailand from 2002 to 2011 in PDF, HTML format in Thai. Spatial coverage is country, and spatial resolution is country, region, zone, province. Temporal coverage is 2002-2011, and temporal resolution is yearly, monthly. Open access."	MIDAS-ISG:WS-000445	null	"Bureau of Epidemiology, Department of Disease Control, Ministry of Public Health of Thailand"	null	null	null	http://www.boe.moph.go.th/Annual/AESR2011/index.html	null	PDF; HTML	null	null	Thailand	4975	TH	null	null	null	null	Bordetella pertussis in Thailand	http://www.pitt.edu/obc/IDE_0000004592
"Annual Health Bulletins of the Ministry of Health and Sanitation of Sierra Leone, 2015-2017"	"This website with data contains data about Ebola cases in Sierra Leone in 2015-2017 years in PDF format. Spatial coverage is country, and spatial resolution is national and district. Temporal coverage is 2015-2017 years, and temporal resolution is yearly. Open access."	MIDAS-ISG:WS-000398	null	"Ministry of Health and Sanitation of Sierra Leone, Online Portal"	null	null	null	https://mohs-portal.net/news-archives/bulletins/	null	PDF	null	null	Sierra Leone	11	SL	null	null	null	null	Zaire ebolavirus in Sierra Leone	http://www.pitt.edu/obc/IDE_0000000100
Annual Health Indicators and Vaccination Coverage of the Ministry of Health and Social welfare of Togo	"This website with data contains data about STIs, tuberculosis, malaria and vaccination coverage rates in Togo for 2014, 2009-2014, 2010-2014, 2015 year in PDF format. Spatial coverage is country, and spatial resolution is country, region. Temporal coverage is 2014, 2009-2014, 2010-2014, 2015 year, and temporal resolution is yearly. Open access."	MIDAS-ISG:WS-000451	null	Ministry of Health and Social welfare of Togo	null	null	null	http://www.sante.gouv.tg/fr/content/publications	null	PDF	null	null	Togo	5185	TG	null	null	null	null	Mycobacterium tuberculosis in Togo	http://www.pitt.edu/obc/IDE_0000004466
"Annual Health Statistics Bulletins of the Ministry of Health of Rwanda, 2009-2013"	"This website with data contains data about rates of vaccination coverage, HIV, tuberculosis and malaria in Rwanda from 2009 to 2013 year in PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2009-2013, and temporal resolution is yearly. Open access."	MIDAS-ISG:WS-000377	null	Ministry of Health of Rwanda	null	null	null	http://www.moh.gov.rw/index.php?id=141	null	PDF	null	null	Rwanda	5078	RW	null	null	null	null	HIV-1 in Rwanda	http://www.pitt.edu/obc/IDE_0000004179
"Annual HIV Reports of the Ministry of Health of Peru, 2001-2017"	This website with data contains data about HIV / AIDS Newsletter from Peru at province level with a yearly temporal resolution from 2001 to 2017 in PDF format in Spanish. Open access.	MIDAS-ISG:WS-000357	null	"National Center for Epidemiology, Prevention and Control of Diseases,The Ministry of Health of Peru"	null	null	null	http://www.dge.gob.pe/portal/index.php?option=com_content&view=article&id=362&Itemid=362	null	PDF	null	null	Peru	5141	PE	null	null	null	null	HIV-1 in Peru	http://www.pitt.edu/obc/IDE_0000004107
"Annual HIV surveillance data in the UK by demographic characteristics and geographical region, 1985-2015"	"This website with data contains data about HIV cases in England, Wales, Northern Ireland, Scotland, London and Midlands and East of England, North of England and South of England from 1985 to 2015 in XLSX format. Spatial coverage is country, and spatial resolution is region. Temporal coverage is 1985-2015, and temporal resolution is yearly. Open access."	MIDAS-ISG:WS-000475	null	GOV.UK	null	null	null	https://www.gov.uk/government/statistics/hiv-annual-data-tables	null	XLSX	null	null	United Kingdom	5019	GB	null	null	null	null	HIV-1 in United Kingdom of Great Britain and Northern Ireland	http://www.pitt.edu/obc/IDE_0000004123
Annual Indicators on Morbidity and Infectious Disease of the Republic of Armenia	"This website with data contains data about morbidity and incidences of HIV/AIDS in Armenia from 2015 to 2016 year in PDF format. Spatial coverage is country, and spatial resolution is region. Temporal coverage is 2015-2016, and temporal resolution is yearly. Open access."	MIDAS-ISG:WS-000017	null	The Ministry of Health of Armenia	null	null	null	http://www.moh.am/#1/95	null	PDF	null	null	Armenia	4985	AM	null	null	null	null	HIV-1 in Armenia	http://www.pitt.edu/obc/IDE_0000004214
"Annual Infectious Disease Reports of the Swiss Federal Office for Statistics, 2007-2016"	"This website with data contains data about number of infectious diseases in Switzerland and the Principality of Liechtenstein from 2007 to 2016 year in HTML format. Spatial coverage is country, and spatial resolution is canton. Temporal coverage is 2007-2016, and temporal resolution is yearly. Open access."	MIDAS-ISG:WS-000435	null	Swiss Federal Office for Statistics	null	null	null	https://www.bag.admin.ch/bag/fr/home/service/zahlen-fakten/zahlen-zu-infektionskrankheiten.html	null	HTML	null	null	Switzerland and the Principality of Liechtenstein	5176	CH	null	null	null	null	Chlamydia trachomatis in Switzerland	http://www.pitt.edu/obc/IDE_0000004620
"Annual Influenza Reports in Germany, 1996-2016"	"This website with data contains data about yearly incidences of influenza in Germany by region and serotype from 1996 to 2016 in PDF format. Spatial coverage is country, and spatial resolution is yearly. Temporal coverage is 1996-2016, and spatial resolution is yearly. Open access."	MIDAS-ISG:WS-000145	null	Arbeitsgemeinschaft Influenza	null	null	null	https://influenza.rki.de/Saisonbericht.aspx	null	PDF	null	null	Germany	5029	DE	null	null	null	null	Influenza virus in Germany	http://www.pitt.edu/obc/IDE_0000002026
"Annual Public Health Statistics of the Ministry of Health and Sports of Myanmar, 2010-2013"	"This website with data contains data about health statistics on demographic, morbidity by ICD and mortality in Myanmar from 2010 to 2013 year in PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2010-2013, and temporal resolution is yearly. Open access."	MIDAS-ISG:WS-000317	null	The Ministry of Health and Sports of the Republic of the Union of Myanmar	null	null	null	http://mohs.gov.mm	null	PDF	null	null	Myanmar	5054	MM	null	null	null	null	HIV-1 in Myanmar	http://www.pitt.edu/obc/IDE_0000004232
Annual report of the National Notifiable Diseases Surveillance System of the Government of Australia	"This website with data contains data about Australia's notifiable diseases at country level with a yearly temporal resolution from 1991 to 2014 in HTML and PDF format. Spatial coverage is country, and spatial resolution is country, state. Temporal coverage is 1991-2014, and temporal resolution is yearly. Open access."	MIDAS-ISG:WS-000029	null	"The Department of Health, the Government of Australia"	null	null	null	http://www.health.gov.au/internet/main/publishing.nsf/Content/cda-pubs-annlrpt-nndssar.htm	null	HTML; PDF	null	null	Australia	5079	AU	null	null	null	null	Hepatitis B virus in Australia	http://www.pitt.edu/obc/IDE_0000004579
Annual Reports of the Center for Epidemiological Surveillance of Communicable Diseases	"This website with data contains data about HIV/AIDS cases in Portugal from 1983 to 2008 year in PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage us 1983-2008, and temporal resolution is yearly. Open access."	MIDAS-ISG:WS-000368	null	Scientific Repository of the National Health Institute Doutor Ricardo Jorge	null	null	null	http://repositorio.insa.pt/browse?type=author&value=Centro+de+Vigil%C3%A2ncia+Epidemiol%C3%B3gica+das+Doen%C3%A7as+Transmiss%C3%ADveis&sort_by=1&order=ASC&rpp=100&etal=0&submit_browse=Update	null	PDF	null	null	Portugal	5053	PT	null	null	null	null	HIV-1 in Portugal	http://www.pitt.edu/obc/IDE_0000004124
"Annual Reports on Demographics and Tuberculosis,Typhoid, and Leprosy cases of the Ministry of Health of Tonga, 2000-2011"	This website with data contains data about communicable disease from Tonga at province level with a yearly temporal resolution from 2000 to 2011 in PDF format. Open access.	MIDAS-ISG:WS-000454	null	Ministry of Health of Tonga	null	null	null	http://www.health.gov.to/drupal/?q=Annual	null	PDF	null	null	Tonga	5001	TO	null	null	null	null	Mycobacterium tuberculosis in Tonga	http://www.pitt.edu/obc/IDE_0000004439
"Annual Reports on Demographics, Vaccination Coverage and Selected Infectious Diseases of the Ministry of Health and Community Protection of United Arab Emirates"	"This website with data contains data about diagnosed diseases at primary health care centers, mortality by cause, sex, nationality and district for the 2010 and 2012, malaria cases for the 2010 year, notifiable infectious diseases by medical district and nationality from 2008 to 2013 year, immunzation coverage from 2008 to 2010 year, vital statistics from 1999 to 2008 year in United Arab Emirates in XLSX format. Spatial coverage is country, and spatial resolution is country and medical districts. Temporal coverage is 2010, 2012, 2008-2013, 2008-2010, 1999-2008, and temporal resolution is yearly. Open access."	MIDAS-ISG:WS-000473	null	Ministry of Health and Community Protection of United Arab Emirates	null	null	null	http://www.mohap.gov.ae/ar/OpenData/Pages/default.aspx#57f8f9ad-0795-4869-96f0-a3f1eceeefca=%7B%22k%22%3A%22%22%2C%22r%22%3A%5B%7B%22n%22%3A%22MOHArOpenDataCategory%22%2C%22t%22%3A%5B%22%5C%22%C7%82%C7%82d8a5d8add8b5d8a7d8a6d98ad8a7d8aa%5C%22%22%5D%2C%22o%22%3A%22and%22%2C%22k%22%3Afalse%2C%22m%22%3Anull%7D%5D%7D	null	XLSX	null	null	United Arab Emirates	5127	AE	null	null	null	null	Plasmodium falciparum in United Arab Emirates	http://www.pitt.edu/obc/IDE_0000004569
"Annual Reports on Demographics, Vital Statistics and Notifiable Infectious Diseases of the Government of Mauritius"	"This website with data contains data about population and vital statistics, maternal and child health, immunizations, notifiable diseases, morbidity, infant and child mortality, mortality (all ages) in Mauritius from 1999 to 2015 year in PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 1999-2015, and temporal resolution is yearly. Open access."	MIDAS-ISG:WS-000237	null	Ministry of Health and Quality of Life of Mauritius	null	null	null	http://health.govmu.org/English/Statistics/Health/Mauritius/Pages/default.aspx	null	PDF	null	null	Mauritius	4976	MU	null	null	null	null	HIV-1 in Mauritius	http://www.pitt.edu/obc/IDE_0000004184
"Annual reports on Infectious diseases in Finland, 2000-2015"	"This website with data contains data about incidences of infectious diseases in Finland from 2000 to 2015 year in PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2000-2015, and temporal resolution is yearly. Open access."	MIDAS-ISG:WS-000129	null	"National Institue for Health and Welfare, Finland"	null	null	null	https://www.thl.fi/en/web/infectious-diseases/surveillance/infectious-disease-register/infectious-diseases-in-finland-annual-reports	null	PDF	null	null	Finland	4974	FI	null	null	null	null	Influenza virus in Finland	http://www.pitt.edu/obc/IDE_0000002037
"Annual Reports on Infectious Diseases in Malaysia, 2000-2011"	"This website with data contains anualy publications in terms of Health Facts (2000-2010), Annual Report(2002-2011), Malaysia's Health(2004-2008), and Health Indicators (2003-2010) from Malaysia at country level with a yearly temporal resolution in PDF format in English. Open access."	MIDAS-ISG:WS-000222	null	Ministry of Health of Malaysia	null	null	null	http://www.moh.gov.my/english.php/pages/view/196	null	PDF	null	null	Malaysia	4967	MY	null	null	null	null	Measles virus in Malaysia	http://www.pitt.edu/obc/IDE_0000004601
"Annual Reports on Notifiable Contagious Diseases of the Public Health Reporting & Statistics of Sweden, 2007-2017"	"This website with data contains data about notifiable infections in Sweden from 2007 to 2017 in XLS and TXT format. Spatial coverage is country, and spatial resolution is county/region. Temporal coverage is 2007-2017, and temporal resolution is yearly. Open access."	MIDAS-ISG:WS-000431	null	Public Health Reporting & Statistics of Sweden	null	null	null	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/overvakning-och-rapportering/anmalningspliktiga-sjukdomar/	null	XLS; TXT	null	null	Sweden	5009	SE	null	null	null	null	Influenza virus in Sweden	http://www.pitt.edu/obc/IDE_0000002007
"Annual Reports on Notifiable Infectious Diseases of the Ministry of Health of Swaziland, 2010-2011"	"This website with data contains data about tuberculosis, diarrheal diseases, STIs, HIV/AIDS, notified cases in Swaziland from 2010 to 2011 year in PDF format. Spatial coverage is country, and spatial resolution is country and region. Temporal coverage is 2010-2011, and temporal resolution is yearly. Open access."	MIDAS-ISG:WS-000430	null	Ministry of Health of Swaziland	null	null	null	http://www.gov.sz/index.php?option=com_content&view=article&id=751&Itemid=599	null	PDF	null	null	Swaziland	5086	SZ	null	null	null	null	HIV-1 in Swaziland	http://www.pitt.edu/obc/IDE_0000004272
"Annual Reports on Notifiable Infectious Diseases of the New Zealand Public Health Surveillance, 2013"	"This dataset contains data about notifiable diseases by age, sex, ethnic group in New Zealand at country level in 2013 in XLSX format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2013, and temporal resolution is yearly. Open access."	MIDAS-ISG:WS-000333	null	New Zealand Public Health Surveillance	null	null	null	https://surv.esr.cri.nz/PDF_surveillance/Diseasetables/Notifiablediseasestatistics_2013.xlsx?m=1393212216	null	XLSX	null	null	New Zealand	5063	NZ	null	null	null	null	Campylobacter in New Zealand	http://www.pitt.edu/obc/IDE_0000004586
"Annual Reports on Notifiable Infectious Diseases of the New Zealand Public Health Surveillance, 2013-2016"	"This website with data contains data about notifiable diseases in New Zealand at country level with a yearly temporal resolution from 2013 to 2016 in XLSX format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2013-2016, and temporal resolution is yearly, monthly. Open access."	MIDAS-ISG:WS-000330	null	New Zealand Public Health Surveillance	null	null	null	https://surv.esr.cri.nz/surveillance/annual_diseasetables.php	null	XLSX	null	null	New Zealand	5063	NZ	null	null	null	null	Campylobacter in New Zealand	http://www.pitt.edu/obc/IDE_0000004586
"Annual Reports on Notifiable Infectious Diseases of the New Zealand Public Health Surveillance, 2014"	"This dataset contains data about notifiable diseases dataset by age, sex, ethnic group in New Zealand at country level from 2014 in XLSX format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2014, and temporal resolution is yearly. Open access."	MIDAS-ISG:WS-000332	null	New Zealand Public Health Surveillance	null	null	null	https://surv.esr.cri.nz/PDF_surveillance/Diseasetables/Notifiablediseasestatistics_2014.xlsx?m=1424810907	null	XLSX	null	null	New Zealand	5063	NZ	null	null	null	null	Campylobacter in New Zealand	http://www.pitt.edu/obc/IDE_0000004586
"Annual Reports on Notifiable Infectious Diseases of the New Zealand Public Health Surveillance, 2015"	"This dataset contains data about notifiable diseases by age, sex, ethnic group in New Zealand at country level in 2015 in XLSX format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2015, and temporal resolution is yearly. Open access."	MIDAS-ISG:WS-000331	null	New Zealand Public Health Surveillance	null	null	null	https://surv.esr.cri.nz/PDF_surveillance/Diseasetables/Notifiablediseasestatistics_2015.xlsx?m=1456182109	null	XLSX	null	null	New Zealand	5063	NZ	null	null	null	null	Campylobacter in New Zealand	http://www.pitt.edu/obc/IDE_0000004586
Annual Reports on STDs of the National Services Scotland	"This website with data contains data about STI incidences in Scotland by diagnostic group, gender and NHS Board of residence and treatment from 1996 to 2009 in XLSX format. Spatial coverage is country, and spatial resolution is area of resindence. Temporal coverage is 1996-2009, and temporal resolution is yearly. Open access."	MIDAS-ISG:WS-000389	null	"Information Services, NHS National Services Scotland"	null	null	null	http://www.isdscotlandarchive.scot.nhs.uk/isd/4907.html	null	XLSX	null	null	Scotland	5019	GB	null	null	null	null	Neisseria gonorrhoeae in United Kingdom of Great Britain and Northern Ireland	http://www.pitt.edu/obc/IDE_0000004619
"Annual Statistical Bulletins on Infectious Diseases of the Ministry of Health of Zambia, 2009-2012"	"This website with data contains data about notifiable and communicable diseases in Zambia from 2009 to 2012 year in PDF format. Spatial coverage is country, and spatial resolution is country and province. Temporal coverage is 2009-2012, and temporal resolution is yearly. Open access."	MIDAS-ISG:WS-000524	null	Ministry of Health of Zambia	null	null	null	http://www.moh.gov.zm/	null	PDF	null	null	Zambia	5066	ZM	null	null	null	null	Plasmodium falciparum in Zambia	http://www.pitt.edu/obc/IDE_0000004567
"Annual Statistical Reports on Demographics, Moritality and Communicable Disease of the Ministry of Health of Trinidad and Tobago, 1994-2011"	"This website with data contains data about population, mortality, mobidity, STIs, and infectious diseases from Trinidad and Tobago at country or province level with a yearly temporal resolution from 1994 to 2011 in PDF format."	MIDAS-ISG:WS-000455	null	The Ministry of Health of Trinidad and Tobago	null	null	null	http://www.health.gov.tt/sitepages/default.aspx?id=122	null	PDF	null	null	Trinidad and Tobago	5184	TT	null	null	null	null	HIV-1 in Trinidad and Tobago	http://www.pitt.edu/obc/IDE_0000004258
"Annual Statistical Reports on Demographics, Mortality, Vaccination Coverage and Vaccine-preventable Diseases of the Ministry of Health of Saudi Arabia"	"This website with data contains data about immunization coverage and cases of notifiable infectious diseases in Saudi Arabia from 2005 to 2015 year in PDF format. Spatial coverage is country, and spatial resolution is country and region. Temporal coverage is 2005-2015, and temporal resolution is yearly. Open access."	MIDAS-ISG:WS-000388	null	Ministry of Health of Saudi Arabia	null	null	null	http://www.moh.gov.sa/Ministry/Statistics/book/Pages/default.aspx	null	PDF	null	null	Saudi Arabia	4962	SA	null	null	null	null	Bordetella pertussis in Saudi Arabia	http://www.pitt.edu/obc/IDE_0000004588
