title	description	dataset_identifier	disease	authors	created	modified	accessed	landing_page	access_page	format	conforms_to	license	geography	apollo_location_code	iso_3166	iso_3166_1	iso_3166_1_alpha_3	apollo_enabled	on_olympus
Data on Diarrhoea cases and Vomiting Outbreak in Kiribati, 2014-2016	This website with data contains data about Diarrhoea & Vomiting Outbreak Situational Report 2014, and Kiribati Monthly Bulletin of Health Statistics 2016 from Kiribati at province level in PDF format. Temporal resolution is monthly. Open access.	MDC:WS-000202	null	The Ministry of Health and Medical Services of the Government of Kribati	null	null	null	http://www.health.gov.ki/download/category/4-helth-documents.html#	null	PDF	null	null	Kiribati	4950	KI	null	null	null	null
Vital Statistics in Brazil	This website with data contains Brazilian national statistical data at province level with a yearly temporal resolution from 1992 to 2016 in XLSX and PDF format in Portuguese. Spatial coverage is country, and spatial resolution is province. Temporal coverage is 1992-2016, and temporal resolution is yearly. Open access.	MDC:WS-000064	null	Brazilian Institute of Geography and Statistics	null	null	null	http://www.ibge.gov.br/home/estatistica/populacao/estimativa2016/default.shtm	null	XLS,ODS; PDF	null	null	Brazil	5000	BR	null	null	null	null
Annual Statistical Reports on Demographics, Moritality and Communicable Disease of the Ministry of Health of Trinidad and Tobago, 1994-2011	This website with data contains data about population, mortality, mobidity, STIs, and infectious diseases from Trinidad and Tobago at country or province level with a yearly temporal resolution from 1994 to 2011 in PDF format.	MDC:WS-000455	null	The Ministry of Health of Trinidad and Tobago	null	null	null	http://www.health.gov.tt/sitepages/default.aspx?id=122	null	PDF	null	null	Trinidad and Tobago	5184	TT	null	null	null	null
Statistical Information on Demogarphics of Antigua and Barbuda	This website with data contains demographic data from Antigua and Barbuda from 2006 to 2013. But there is no infectious diseases data.	MDC:WS-000014	null	Antigua and Barbuda?s Government Information and Services	null	null	null	http://www.ab.gov.ag/detail_page.php?page=5	null	PDF	null	null	Antigua and Barbuda	5097	AG	null	null	null	null
Demographics, Vital Statistics and Infectious Diseases in Georgia, 2001-2015	This website with data contains data about incidators of health care in Georgia, including incidences of infectious diseases (acute intestinal infections, salmonella, diphtheria, pertussis, tetanus, measles, rubella, virus hepatitis, influenza and acute respiratory infections), tuberculosis, STI's and HIV/AIDS in Georgia for 2001-2015 and 2002-2015 in XLS format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2001-2015 and 2002-2015, and temporal resolution is country. Open access.	MDC:WS-000140	null	National Statistics Office of Georgia	null	null	null	http://www.geostat.ge/index.php?action=page&p_id=197&lang=eng	null	XLS	null	null	Georgia	5154	GE	null	null	null	null
Statistical Information on HIV, AIDS, Tuberculosis and Vaccination Coverage of the Government of Mauritania	This website with data contains data about percentage of women aged 10 to 16 who receive the HPV vaccine, percentage of pregnant women who received 2 doses of TPI during pregnancy, percentage of children 0-11 months of age receiving 3 doses of pentavalent, BCG, measles, OPV, pneumococcal and rotavirus vacccine, number of notified tuberculosis cases; prevalence of HIV/AIDS cases in Mauritania from 2000 to 2017 in HTML format. Spatial coverage is country, and spatial resolution is national, regional. Temporal coverage is 2000-2017, and temporal resolution is yearly. Open access.	MDC:WS-000236	null	Ministry of Health of Mauritania	null	null	null	http://www.sante.gov.mr/index.php?page_id=270	null	HTML	null	null	Mauritania	4960	MR	null	null	null	null
Population Morbidity and Infectious Diseases of the Government of Moldova, 1999-2015	This database contains data about morbidity, 1995-2015, morbidity, by main classes of diseases, 2001-2015, morbidity by classes of diseases per 100,000 inhabitants, by region 2008-2015, morbidity with separate infectious diseases, 1995-2015, morbidity with separate infectious diseases by area, 1995-2015, morbidity with acute tuberculosis by area, 1995-2015, morbidity with acute tuberculosis patients by sex and age groups, 2000-2015, morbidity with STD, 2000-2015, morbidity with STD by sex and age groups, 2000-2015, morbidity with STD by area, 1995-2015 in Moldova in CSV, XLSX, JSON, PX, HTM, XML, SCB format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 1995-2015, 2001-2015, 2000-2015, and temporal resolution is yearly. Open access.	MDC:WS-000243	null	National Bureau of Statistics of the Republic of Moldova	null	null	null	http://statbank.statistica.md/pxweb/pxweb/en/30%20Statistica%20sociala/30%20Statistica%20sociala__08%20SAN__SAN020/?rxid=0f776e51-2661-420c-b507-c453ecf00d4a	null	CSV; XLSX; JSON; PX; HTM; XML; SCB	null	null	Moldova	5112	MD	null	null	null	null
Zika Virus Genome and Sequencing in Brazil	This website with data contains data on the Illumina-generated consensus sequence from Brazil in FASTA format. Spatial coverage is country, and spatial resolution is sub-counrty. Temporal coverage is 2016-present, and temporal resolution is unknown. Open access.	MDC:WS-000063	null	Zika Real-time Sequencing Consortium	null	null	null	http://www.zibraproject.org/data/	null	GB; FASTA	null	null	Brazil	5000	BR	null	null	null	null
Weekly Data on Infectious Diseases in Liberia, 2017	This website with data contains data about summary of immediately reportable diseases, conditions, and events by county in Liberia in 2017 in PDF format. Spatial coverage is country, and spatial resolution is country, county. Temporal coverage is 2017, and temporal resolution is weekly. Open access.	MDC:WS-000210	null	Ministry of Health of Liberia	null	null	null	http://moh.gov.lr/category/annual-report/	null	PDF	null	null	Liberia	1130	LR	null	null	null	null
Data on Vaccination and Selected Infectious Diseases of the Government of Bahrain	This website with data contains data about vaccination coverage rate and incidences of selected infectious diseases in Bahrain from 1985 to 2015 year in PDF format. Spatial coverage is country, and spatial resolution is country, Bahraini, and non-Bahraini. Temporal coverage is 1985-2015, and temporal resolution is yearly. Open access.	MDC:WS-000035	null	Ministry of Health of Bahrain	null	null	null	https://www.moh.gov.bh/Ministry/Statistics	null	PDF	null	null	Bahrain	5119	BH	null	null	null	null
Periodic Reports on HIV and AIDS in Israel, 1981-2015	This website with data contains data about HIV cumulative incidences in Israel from 1981 to 2015 year in PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 1981-2015, and temporal resolution is yearly. Open access.	MDC:WS-000181	null	The Ministry of Health of Israel	null	null	null	http://www.health.gov.il/UnitsOffice/HD/PH/TBAids/Aids/Pages/Periodic_Reports.aspx	null	PDF	null	null	Israel	5188	IL	null	null	null	null
Selected Compulsary Notified Infectious Disease Data of the Statistical Office of the Slovak Republic, 2004-2015	This database contains data about selected compulsary notified infectious diseases in the Slovak Republic from 2004-2015 year in XLSX, PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2004-2015, and temporal resolution is yearly. Open access.	MDC:WS-000407	null	DATAcube, Statistical Office of the Slovak Republic	null	null	null	http://datacube.statistics.sk/TM1Web/TM1WebLogin.aspx	null	XLSX; PDF	null	null	Slovakia	5033	SK	null	null	null	null
Health Statistics on Malaria, Tuberculosis and Leprosy of the Government of Bangladesh	This website with data contains data about infectious disease from Bangladesh at country level with a yearly temporal resolution from 2002 to 2015 in CVS, XML, and JSON format. Open access.	MDC:WS-000037	null	World Health Organization	null	null	null	http://apps.who.int/gho/data/node.country.country-BGD?lang=en	null	CSV; XML; JSON	null	null	Bangladesh	5039	BD	null	null	null	null
Data on Morbidity and Infectious Diseases in Estonia	This database contains data about incidences of registered infectious diseases in Estonia from 1999 to 2015 year and tuberculosis from 1970 to 2015 year in PX, XLS, TXT, CSV, HTM, DBF, XML format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 1999-2015, and temporal resolution is yearly. Open access.	MDC:WS-000122	null	Statistics Estonia	null	null	null	http://pub.stat.ee/px-web.2001/I_Databas/Social_life/05Health/06Morbidity_and_use_of_medical_services/06Morbidity_and_use_of_medical_services.asp	null	PX; XLS; TXT; CSV; HTM; DBF; XML	null	null	Estonia	5059	EE	null	null	null	null
Influenza Reports by Italy, 2003-2016	This website with data contains data about incidences of influenza in Italy from 2003 to 2016 year in PDF format. Spatial coverage is country, and spatial resolution is region. Temporal coverage is 2003-2016, and temporal resolution is yearly. Open access.	MDC:WS-000183	null	Higher Institute of Health, Italy	null	null	null	http://www.iss.it/flue/index.php?lang=1&anno=2017&tipo=13	null	PDF	null	null	Italy	5195	IT	null	null	null	null
Pathogenic microorganism detection information by Japan, 2016-2017	This website with data contains data about pathogen surveillance system from Japan from 2016 to 2017 years in PDF and CSV format in Japanese. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2016-2017, and temporal resolution is weekly. Open access.	MDC:WS-000195	null	National Institute of Infectious Diseases of Japan	null	null	null	https://www.niid.go.jp/niid/ja/iasr/510-surveillance/iasr/graphs/2293-iasrgv4.html	null	PDF; CSV	null	null	Japan	5068	JP	null	null	null	null
Viet Nam WHO statistical profile 2015	This website with data contains data about demographics and children immunization for Veit Nam at country level in 2015 in PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2015, and temporal resolution is yearly. Open access.	MDC:WS-000520	null	World Health Organization	null	null	null	http://www.who.int/gho/countries/vnm.pdf?ua=1	null	PDF	null	null	Viet Nam	5129	VN	null	null	null	null
Population Data of Jamaica, 2008	This website with data contains data about socio-demographics from Jamaica at province level in 2008 in PDF format. Temporal resolution is yearly. Open access.	MDC:WS-000189	null	The Ministry of Health of Jamaica	null	null	null	http://moh.gov.jm/data/jamaica-health-and-lifestyle-survey-2007-8/	null	PDF	null	null	Jamaica	4999	JM	null	null	null	null
Annual Reports on Notifiable Contagious Diseases of the Public Health Reporting & Statistics of Sweden, 2007-2017	This website with data contains data about notifiable infections in Sweden from 2007 to 2017 in XLS and TXT format. Spatial coverage is country, and spatial resolution is county/region. Temporal coverage is 2007-2017, and temporal resolution is yearly. Open access.	MDC:WS-000431	null	Public Health Reporting & Statistics of Sweden	null	null	null	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/overvakning-och-rapportering/anmalningspliktiga-sjukdomar/	null	XLS; TXT	null	null	Sweden	5009	SE	null	null	null	null
Yearly Epidemiological Reports on Notifiable Infectious Diseases in Bolivia	This website with data contains data about epidemiological review from Bolivia at province level from 2015 to 2016 in PDF format in Spanish. Temporal resoultion is yearly. Open access.	MDC:WS-000057	null	The Ministry of Health of Bolivia	null	null	null	https://www.minsalud.gob.bo/boletin-informativo/1522-revista-epidemiologica	null	PDF	null	null	Bolivia	4963	BO	null	null	null	null
Surveillance Data on Foodborne Diseases of the Department of Health Statistics and Information of Chile	This website with data contains data about foodborne diseases in Chile at country, region level with yearly temporal resolution from 2006 to 2016 in XLSX, HTML format in Spanish. Open access.	MDC:WS-000095	null	The Department of Health Statistics and Information of Chile	null	null	null	http://www.deis.cl/estadisticas-eta/	null	XLSX; HTML	null	null	Chile	4956	CL	null	null	null	null
Annual Reports on Notifiable Infectious Diseases of the New Zealand Public Health Surveillance, 2015	This dataset contains data about notifiable diseases by age, sex, ethnic group in New Zealand at country level in 2015 in XLSX format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2015, and temporal resolution is yearly. Open access.	MDC:WS-000331	null	New Zealand Public Health Surveillance	null	null	null	https://surv.esr.cri.nz/PDF_surveillance/Diseasetables/Notifiablediseasestatistics_2015.xlsx?m=1456182109	null	XLSX	null	null	New Zealand	5063	NZ	null	null	null	null
Reported Cases of Infectious Diseases of the National Institue of Public Health of the Republic of Slovenia, 2008-2015	This database contains data about reported infectious diseases and STDs in the Republic of Slovenia from 2008 to 2015 in XLSL, PX, and CSV format. Spatial coverage is country, and spatial resolution is country, region. Temporal coverage is 2008-2015, and temporal resolution is monthly, yearly. Open access.	MDC:WS-000412	null	National Institue of Public Health of the Republic of Slovenia (NIJZ)/Data Portal	null	null	null	https://podatki.nijz.si/pxweb/sl/NIJZ%20podatkovni%20portal/NIJZ%20podatkovni%20portal__3%20Zdravstveno%20stanje%20prebivalstva__3d%20Nalezljive%20bolezni/NB1.px/?rxid=c6e97d64-b6df-49b7-bd47-ac26c3b7c84a	null	XLSX; PX; CSV	null	null	Slovenia	5084	SI	null	null	null	null
Surveillance Data of the National Infectious Disease Surveillance System (NIDSS) of South Korea, 2001-2017	This database contains data about infectious diseases in South Korea from 2001 to 2017 in XLSX, PDF, DOC format. Spatial coverage is country, and spatial resolution is country, province. Temporal coverage is 2001-2017 , and temporal resolution is yearly. Open access.	MDC:WS-000419	null	National Infectious Disease Surveillance System (NIDSS) of South Korea, Osong Healthcare Medical Center Disease Control Headquarters	null	null	null	https://is.cdc.go.kr/dstat/jsp/stat/stat0003.jsp	null	XLSX; PDF; DOC	null	null	South Korea	4951	KR	null	null	null	null
Epidemiological Bulletins by El Salvador, 2014-2017	This website with data contains data about epidemiological bulletin from El Salvador at province level with a weekly temporal resolution from 2014 to 2017 in PDF format in Spanish. Open access.	MDC:WS-000118	null	The Directorate of Health Surveillance, Ministry of Health of El Salvador	null	null	null	http://www.salud.gob.sv/direccion-de-vigilancia-sanitaria-2/	null	PDF	null	null	El Salvador	5165	SV	null	null	null	null
Data on HIV cases in Jamaica, 1982-2015	This website with data contains data about HIV infection from Jamaica at province level with a yearly temporal resolution from 1982 to 2015 in PDF format. Open access.	MDC:WS-000188	null	The Ministry of Health of Jamaica	null	null	null	http://moh.gov.jm/data/hiv-epidemiological-profile-2015-facts-figures/	null	PDF	null	null	Jamaica	4999	JM	null	null	null	null
Weekly Surveillance Data on Infectious Diseases in Japan, 2017	This website with data contains data about notifiable infectious diseases in Japan in 2017 in CSV format in English. Spatial coverage is country, and spatial resoltuion is country, state. Temporal coverage is 2017, and temporal resolution is weekly. Open access.	MDC:WS-000193	null	National Institute of Infectious Diseases of Japan	null	null	null	https://www.niid.go.jp/niid/en/survaillance-data-table-english/7300-idwr-sokuho-data-e-1721.html	null	CSV	null	null	Japan	5068	JP	null	null	null	null
Demographics, Vaccination Coverages and Infectious Disease Cases of Health Development Center of Mongolia	This website with data contains data about mortality, morbidity, health care coverage, maternal and child health, length of stay in hospital in Mongolia from 2003 to 2016 year in PDF format. Spatial coverage is country, and spatial resolution is country, region. Temporal coverage is 2006-2016, and temporal resolution is yearly. Open access.	MDC:WS-000247	null	Center for Health Development, Government of Mongolia	null	null	null	http://www.chd.mohs.mn/content.php?type=service&id=76	null	PDF	null	null	Mongolia	5020	MN	null	null	null	null
Weekly Influenza Reports of the Korea Centers for Disease Control and Prevention, 2004-2017	This website with data contains data about notifiable diseases in South Korea from 2004 to 2017 in PDF format in English. Spatial coverage is country, and spatial resolution is country, city. Temporal coverage is 2004-2017, and temporal resolution is weekly. Open access.	MDC:WS-000420	null	Korea Centers for Disease Control and Prevention	null	null	null	http://www.cdc.go.kr/CDC/eng/info/CdcEngInfo0101.jsp?menuIds=HOME002-MNU0576-MNU0586	null	PDF	null	null	South Korea	4951	KR	null	null	null	null
Vital Statistics of the Republic of Andorra	This website with data contains data about demographic, mortality rate, gender statistics in Andorra from 2009 to 2016 in XLSX, CSV format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2009-2016, and temporal resolution is yearly. Open access.	MDC:WS-000009	null	The Government of Andorra	null	null	null	http://www.estadistica.ad/serveiestudis/web/index.asp#	null	XLSX; CSV	null	null	Andorra	5109	AD	null	null	null	null
Storm Events Database of the U.S. National Centers for Environmental Information	This website with data contains Storm Events Database from the United States at country level with a daily temporal resolution from 1950 to 2017 in CSV, Text, Paradox data files depend on timelines. Open access.	MDC:WS-000504	null	National Centers for Environmental Information	null	null	null	https://www.ncdc.noaa.gov/stormevents/	null	CSV; TXT; PARADOX database files; PDF	null	null	United States	1216	US	null	null	null	null
Mexico National Epidemiological Surveillance System	Collection of routine disease surveillance data made publically available by the National Institute of Public Health of Mexico	MDC:WS-000530	null	 The National Institute of Public Health of Mexico	null	null	null	https://www.gob.mx/chikungunya-dengue	null	csv; xlsx	National epidemiological surveillance system; MDC:epidemiological-bulletin-national-system-of-epidemiological-surveillance-system-v1.0	null	Mexico	5178	null	484	MEX	null	null
Colombia Epidemiological Bulletin	Collection of epidemiological bulletins made publicly available by Colombia National Institute of Health	MDC:WS-000529	null	 Colombia National Institute of Health	null	null	null	http://www.ins.gov.co/buscador-eventos/Paginas/Vista-Boletin-Epidemilogico.aspx	null	csv; xlsx	Colombia Municipal Epidemiological Bulletin; MDC:colombia-moh-chikungunya-weekly-summary-v1.0	null	Colombia	5076	null	170	COL	null	null
Colombia Routine Surveillance	Collection of routine disease surveillance data made publicly available by Colombia National Institute of Health	MDC:WS-000528	null	 Colombia National Institute of Health	null	null	null	http://www.ins.gov.co/Direcciones/Vigilancia/sivigila/Paginas/vigilancia-rutinaria.aspx	null	csv; xlsx	Colombia Municipal Routine Surveillance; MDC:colombia-municipal-routine-surveillance-events-by-week-v1.0	null	Colombia	5076	null	170	COL	null	null
Infectious Disease Morbidity of the Ministry of Public Health of Thailand, 2002-2011	This website with data contains data about notifiable diseases in Thailand from 2002 to 2011 in PDF, HTML format in Thai. Spatial coverage is country, and spatial resolution is country, region, zone, province. Temporal coverage is 2002-2011, and temporal resolution is yearly, monthly. Open access.	MDC:WS-000446	null	Bureau of Epidemiology, Department of Disease Control, Ministry of Public Health of Thailand	null	null	null	http://www.boe.moph.go.th/Annual/AESR2011/main/AESR54_Part2/Reported%20cases%20%20Ranking.html	null	PDF; HTML	null	null	Thailand	4975	TH	null	null	null	null
The Quarterly New Zealand Public Health Surveillance Report, 2003-2017	This website with data contains data about notifiable diseases in New Zealand at country level with a yearly temporal resolution from 2003 to 2017 in PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2003-2017, and temporal resolution is yearly. Open access.	MDC:WS-000334	null	New Zealand Public Health Surveillance	null	null	null	https://surv.esr.cri.nz/surveillance/NZPHSR.php	null	PDF	null	null	New Zealand	5063	NZ	null	null	null	null
Annual Epidemiological Surveillance Report of the Ministry of Public Health of Thailand, 2002	This website with data contains data about notifiable diseases in Thailand from 1993 to 2002 years in HTML format in Thai. Spatial coverage is country, and spatial resolution is country, region, zone, province. Temporal coverage is 1993-2002, and temporal resolution is yearly, monthly. Open access.	MDC:WS-000444	null	Bureau of Epidemiology, Department of Disease Control, Ministry of Public Health of Thailand	null	null	null	http://www.boe.moph.go.th/Annual/Annual_45/Annual_45/annual_index_1.html	null	HTML	null	null	Thailand	4975	TH	null	null	null	null
Vaccination and Notifiable Infectious Disease of Institute of Public Health of Montenegro, 2006-2014	This website with data contains data about immunization coverage and incidences of infectious diseases in Montenegro from 2006 to 2014 year in PDF format. Spatial coverage is country, and spatial resolution is country, community. Temporal coverage is 2006-2014 and 1996-2014, and temporal resolution is yearly. Open access.	MDC:WS-000250	null	Institute of Public Health of Montenegro	null	null	null	http://www.ijzcg.me/kategorija/podrucje-djelovanja/podaci/godisnjaci-podaci/	null	PDF	null	null	Montenegro	5187	ME	null	null	null	null
Annual Epidemiological Surveillance Report of the Ministry of Public Health of Thailand, 2011	This website with data contains data about notifiable diseases in Thailand from 2002 to 2011 in PDF, HTML format in Thai. Spatial coverage is country, and spatial resolution is country, region, zone, province. Temporal coverage is 2002-2011, and temporal resolution is yearly, monthly. Open access.	MDC:WS-000445	null	Bureau of Epidemiology, Department of Disease Control, Ministry of Public Health of Thailand	null	null	null	http://www.boe.moph.go.th/Annual/AESR2011/index.html	null	PDF; HTML	null	null	Thailand	4975	TH	null	null	null	null
